id,delta_point,created_at,user_id,user_question_record_id
790629,9,"2023-04-28 12:27:49",849436,771777
790652,9,"2023-04-28 12:28:02",849436,771800
790664,5,"2023-04-28 12:28:09",849436,771812
790680,13,"2023-04-28 12:28:16",849436,771828
790703,5,"2023-04-28 12:28:26",849436,771851
790716,10,"2023-04-28 12:28:32",849436,771864
790746,12,"2023-04-28 12:28:46",847375,771894
790761,15,"2023-04-28 12:28:55",849436,771908
790765,10,"2023-04-28 12:28:57",847375,771912
790780,9,"2023-04-28 12:29:05",847375,771927
790793,14,"2023-04-28 12:29:13",849436,771940
790806,10,"2023-04-28 12:29:21",849436,771952
790820,14,"2023-04-28 12:29:29",849438,771966
790823,8,"2023-04-28 12:29:30",847375,771969
790828,6,"2023-04-28 12:29:33",849436,771974
790835,13,"2023-04-28 12:29:38",847375,771981
790849,8,"2023-04-28 12:29:49",849438,771995
790855,6,"2023-04-28 12:29:52",849479,772001
790856,14,"2023-04-28 12:29:53",847375,772002
790877,13,"2023-04-28 12:30:03",849479,772023
790879,5,"2023-04-28 12:30:04",847375,772025
790881,12,"2023-04-28 12:30:04",849438,772027
790884,11,"2023-04-28 12:30:06",849441,772030
790894,7,"2023-04-28 12:30:10",849479,772040
790899,8,"2023-04-28 12:30:13",847375,772044
790909,13,"2023-04-28 12:30:19",849438,772054
790911,5,"2023-04-28 12:30:20",847375,772056
790912,11,"2023-04-28 12:30:21",849479,772057
790935,15,"2023-04-28 12:30:29",849438,772080
790943,7,"2023-04-28 12:30:34",847375,772088
790953,11,"2023-04-28 12:30:38",849479,772098
790956,5,"2023-04-28 12:30:39",849438,772101
790961,9,"2023-04-28 12:30:40",849452,772106
790977,7,"2023-04-28 12:30:48",849479,772122
790978,9,"2023-04-28 12:30:48",849452,772123
790981,7,"2023-04-28 12:30:49",849438,772126
790983,10,"2023-04-28 12:30:51",849469,772128
790988,14,"2023-04-28 12:30:54",849479,772133
790995,6,"2023-04-28 12:30:57",849452,772140
791002,7,"2023-04-28 12:31:01",849438,772147
791005,8,"2023-04-28 12:31:02",849479,772150
791006,15,"2023-04-28 12:31:02",849441,772151
791012,9,"2023-04-28 12:31:04",849452,772157
791023,14,"2023-04-28 12:31:09",849479,772167
791024,15,"2023-04-28 12:31:09",849452,772168
791035,13,"2023-04-28 12:31:16",849452,772179
791040,5,"2023-04-28 12:31:18",849438,772184
791046,13,"2023-04-28 12:31:22",849439,772190
791052,13,"2023-04-28 12:31:24",849452,772195
791060,14,"2023-04-28 12:31:27",849441,772203
791071,10,"2023-04-28 12:31:33",849452,772214
791080,7,"2023-04-28 12:31:38",849634,772223
791082,8,"2023-04-28 12:31:39",849439,772225
791083,14,"2023-04-28 12:31:39",849452,772226
791091,9,"2023-04-28 12:31:44",849452,772233
791099,7,"2023-04-28 12:31:49",849441,772241
791104,14,"2023-04-28 12:31:51",849439,772246
791116,9,"2023-04-28 12:31:55",849634,772258
791126,14,"2023-04-28 12:32:00",849489,772268
791135,7,"2023-04-28 12:32:05",849493,772277
791136,10,"2023-04-28 12:32:05",849692,772278
791137,14,"2023-04-28 12:32:06",849445,772279
791148,15,"2023-04-28 12:32:11",849670,772289
791153,9,"2023-04-28 12:32:13",849477,772293
791157,9,"2023-04-28 12:32:14",849692,772297
791159,9,"2023-04-28 12:32:14",849489,772299
791160,7,"2023-04-28 12:32:16",849445,772300
791161,15,"2023-04-28 12:32:16",849493,772301
791169,5,"2023-04-28 12:32:17",849634,772309
791174,14,"2023-04-28 12:32:21",849692,772314
791175,5,"2023-04-28 12:32:21",849670,772315
791180,11,"2023-04-28 12:32:24",849441,772320
791192,13,"2023-04-28 12:32:31",849670,772332
791194,10,"2023-04-28 12:32:32",849692,772334
791203,9,"2023-04-28 12:32:38",849445,772343
791206,7,"2023-04-28 12:32:40",849692,772346
791220,7,"2023-04-28 12:32:46",849670,772359
791221,12,"2023-04-28 12:32:46",849477,772360
791225,15,"2023-04-28 12:32:48",849692,772364
791231,14,"2023-04-28 12:32:52",849670,772370
791247,11,"2023-04-28 12:32:57",849439,772386
791250,7,"2023-04-28 12:32:59",849692,772389
791256,13,"2023-04-28 12:33:01",849762,772395
791259,9,"2023-04-28 12:33:02",849441,772398
791275,14,"2023-04-28 12:33:07",849439,772414
791277,6,"2023-04-28 12:33:08",849692,772416
791287,13,"2023-04-28 12:33:12",849762,772426
791295,6,"2023-04-28 12:33:15",849487,772434
791300,5,"2023-04-28 12:33:15",849445,772439
791314,13,"2023-04-28 12:33:22",849762,772453
791318,5,"2023-04-28 12:33:23",849439,772457
791331,10,"2023-04-28 12:33:27",849762,772470
791333,14,"2023-04-28 12:33:29",849439,772472
791335,5,"2023-04-28 12:33:30",849475,772474
791345,10,"2023-04-28 12:33:32",849487,772484
791349,11,"2023-04-28 12:33:33",849445,772488
791354,8,"2023-04-28 12:33:36",849475,772493
791360,9,"2023-04-28 12:33:38",849436,772499
791362,10,"2023-04-28 12:33:38",849762,772501
791367,13,"2023-04-28 12:33:40",849477,772506
791373,6,"2023-04-28 12:33:42",849439,772512
791382,8,"2023-04-28 12:33:45",849436,772521
791391,6,"2023-04-28 12:33:48",849762,772530
791398,6,"2023-04-28 12:33:51",849559,772537
791402,8,"2023-04-28 12:33:52",849864,772541
791415,6,"2023-04-28 12:33:56",849441,772554
791418,6,"2023-04-28 12:33:56",849762,772557
791420,5,"2023-04-28 12:33:57",849670,772559
791425,12,"2023-04-28 12:33:59",849864,772564
791428,7,"2023-04-28 12:34:00",849477,772567
791444,9,"2023-04-28 12:34:05",849436,772583
791451,6,"2023-04-28 12:34:06",849445,772590
791455,5,"2023-04-28 12:34:07",849864,772594
791460,13,"2023-04-28 12:34:08",849477,772599
791465,7,"2023-04-28 12:34:10",849670,772604
791480,7,"2023-04-28 12:34:15",849441,772619
791487,15,"2023-04-28 12:34:17",849559,772626
791489,10,"2023-04-28 12:34:17",849477,772628
791490,9,"2023-04-28 12:34:18",849864,772629
791500,10,"2023-04-28 12:34:21",849445,772639
791508,15,"2023-04-28 12:34:24",849864,772646
791523,15,"2023-04-28 12:34:29",849477,772661
791527,10,"2023-04-28 12:34:29",849436,772665
791528,8,"2023-04-28 12:34:31",849469,772666
791534,14,"2023-04-28 12:34:33",849864,772672
791543,8,"2023-04-28 12:34:36",849436,772681
791545,12,"2023-04-28 12:34:36",849445,772683
791551,5,"2023-04-28 12:34:37",849477,772689
791575,12,"2023-04-28 12:34:44",849477,772713
791583,13,"2023-04-28 12:34:47",849559,772721
791588,13,"2023-04-28 12:34:48",849864,772726
791612,5,"2023-04-28 12:34:55",849436,772750
791618,14,"2023-04-28 12:34:56",849864,772756
791621,13,"2023-04-28 12:34:56",849559,772759
791630,12,"2023-04-28 12:34:58",849445,772767
791636,10,"2023-04-28 12:34:58",849441,772773
791643,14,"2023-04-28 12:35:01",849864,772780
791660,11,"2023-04-28 12:35:05",849559,772796
791695,14,"2023-04-28 12:35:13",849445,772830
791701,6,"2023-04-28 12:35:15",849864,772836
791705,14,"2023-04-28 12:35:15",849454,772840
791715,13,"2023-04-28 12:35:18",849441,772850
791717,9,"2023-04-28 12:35:18",849446,772852
791740,8,"2023-04-28 12:35:24",849436,772875
791777,6,"2023-04-28 12:35:32",849559,772911
791805,11,"2023-04-28 12:35:38",849446,772938
791825,12,"2023-04-28 12:35:42",849559,772959
791887,8,"2023-04-28 12:35:57",849559,773020
791893,9,"2023-04-28 12:35:58",849504,773026
791908,8,"2023-04-28 12:36:02",849559,773041
791915,12,"2023-04-28 12:36:05",849446,773047
791952,7,"2023-04-28 12:36:15",849446,773083
791992,9,"2023-04-28 12:36:30",849504,773123
792014,8,"2023-04-28 12:36:36",849504,773144
792021,6,"2023-04-28 12:36:38",849762,773151
792036,15,"2023-04-28 12:36:41",849504,773166
792050,5,"2023-04-28 12:36:46",849762,773180
792059,11,"2023-04-28 12:36:48",849504,773189
792076,13,"2023-04-28 12:36:52",849762,773206
792092,13,"2023-04-28 12:36:58",849504,773222
792116,14,"2023-04-28 12:37:06",849504,773246
792129,7,"2023-04-28 12:37:09",849446,773259
792140,7,"2023-04-28 12:37:13",849475,773270
792155,12,"2023-04-28 12:37:18",849475,773284
792174,14,"2023-04-28 12:37:23",849504,773303
792194,7,"2023-04-28 12:37:32",849475,773322
792227,5,"2023-04-28 12:37:47",849475,773355
792626,8,"2023-04-28 12:40:24",849475,773747
792723,15,"2023-04-28 12:40:53",849475,773843
792743,15,"2023-04-28 12:41:00",849566,773862
792776,9,"2023-04-28 12:41:09",849566,773894
792854,10,"2023-04-28 12:41:35",849566,773972
792879,9,"2023-04-28 12:41:45",849566,773997
792931,11,"2023-04-28 12:42:03",849566,774049
792948,13,"2023-04-28 12:42:13",849503,774066
792992,11,"2023-04-28 12:42:34",849503,774110
793000,8,"2023-04-28 12:42:40",849503,774118
793006,15,"2023-04-28 12:42:42",849471,774124
793014,7,"2023-04-28 12:42:46",849503,774132
793034,12,"2023-04-28 12:42:53",849471,774152
793052,11,"2023-04-28 12:43:02",849471,774170
793070,14,"2023-04-28 12:43:10",849471,774188
793091,11,"2023-04-28 12:43:18",849471,774209
793117,12,"2023-04-28 12:43:30",849471,774235
793141,14,"2023-04-28 12:43:38",849471,774259
793153,7,"2023-04-28 12:43:42",849493,774271
793164,11,"2023-04-28 12:43:47",849471,774282
793173,12,"2023-04-28 12:43:51",849493,774291
793177,11,"2023-04-28 12:43:52",849443,774295
793192,9,"2023-04-28 12:43:56",849471,774309
793197,15,"2023-04-28 12:43:57",849493,774314
793212,13,"2023-04-28 12:44:03",849443,774329
793215,11,"2023-04-28 12:44:06",849471,774332
793218,8,"2023-04-28 12:44:07",849493,774335
793260,6,"2023-04-28 12:44:25",849493,774375
793280,15,"2023-04-28 12:44:34",849493,774394
793376,11,"2023-04-28 12:45:33",849558,774486
793399,12,"2023-04-28 12:45:44",849558,774507
793409,5,"2023-04-28 12:45:50",849558,774517
793437,15,"2023-04-28 12:46:05",849558,774544
793453,14,"2023-04-28 12:46:14",849558,774559
793475,13,"2023-04-28 12:46:25",849558,774581
793496,13,"2023-04-28 12:46:34",849558,774602
793516,10,"2023-04-28 12:46:43",849558,774622
793774,6,"2023-04-28 12:48:19",849475,774876
793948,9,"2023-04-28 12:49:53",849620,775046
793969,10,"2023-04-28 12:50:07",849620,775066
794005,8,"2023-04-28 12:50:22",849620,775102
794032,8,"2023-04-28 12:50:33",849620,775127
794057,13,"2023-04-28 12:50:43",849620,775152
794081,11,"2023-04-28 12:50:52",849620,775176
794110,6,"2023-04-28 12:51:04",849620,775205
794197,11,"2023-04-28 12:51:35",849443,775292
794241,15,"2023-04-28 12:51:50",849443,775335
794272,6,"2023-04-28 12:52:02",849443,775366
794316,6,"2023-04-28 12:52:20",849443,775410
794336,15,"2023-04-28 12:52:30",849497,775430
794400,6,"2023-04-28 12:52:56",849444,775488
794525,5,"2023-04-28 12:53:38",849444,775611
794548,13,"2023-04-28 12:53:46",849444,775634
794610,15,"2023-04-28 12:54:08",849444,775696
794640,8,"2023-04-28 12:54:18",849444,775726
794663,9,"2023-04-28 12:54:27",849444,775749
794670,7,"2023-04-28 12:54:31",849543,775756
794680,9,"2023-04-28 12:54:34",849444,775765
794696,7,"2023-04-28 12:54:40",849543,775781
794733,9,"2023-04-28 12:54:53",849543,775815
794750,9,"2023-04-28 12:54:59",849444,775830
794773,5,"2023-04-28 12:55:09",849922,775853
794792,9,"2023-04-28 12:55:14",849922,775872
794795,8,"2023-04-28 12:55:16",849444,775875
794799,6,"2023-04-28 12:55:19",849466,775879
794810,13,"2023-04-28 12:55:21",849922,775890
794823,10,"2023-04-28 12:55:26",849466,775903
794826,6,"2023-04-28 12:55:27",849922,775906
794838,11,"2023-04-28 12:55:33",849922,775917
794848,6,"2023-04-28 12:55:37",849543,775927
794852,14,"2023-04-28 12:55:39",849922,775931
794874,14,"2023-04-28 12:55:50",849922,775950
794883,15,"2023-04-28 12:55:56",849922,775959
794895,5,"2023-04-28 12:56:03",849922,775971
794904,12,"2023-04-28 12:56:09",849922,775980
795033,10,"2023-04-28 12:57:19",849464,776104
795036,13,"2023-04-28 12:57:21",849543,776106
795057,5,"2023-04-28 12:57:30",849543,776127
795061,12,"2023-04-28 12:57:33",849442,776131
795064,6,"2023-04-28 12:57:35",849464,776134
795078,11,"2023-04-28 12:57:43",849464,776148
795093,10,"2023-04-28 12:57:50",849464,776163
795094,12,"2023-04-28 12:57:51",849442,776164
795111,11,"2023-04-28 12:58:01",849464,776181
795113,11,"2023-04-28 12:58:01",849543,776183
795122,8,"2023-04-28 12:58:06",849442,776192
795143,12,"2023-04-28 12:58:16",849464,776212
795157,14,"2023-04-28 12:58:22",849442,776226
795160,11,"2023-04-28 12:58:24",849464,776229
795165,12,"2023-04-28 12:58:26",849450,776234
795187,13,"2023-04-28 12:58:36",849442,776255
795193,13,"2023-04-28 12:58:39",849450,776261
795196,5,"2023-04-28 12:58:41",849442,776264
795208,12,"2023-04-28 12:58:49",849442,776276
795247,12,"2023-04-28 12:59:08",849450,776314
795268,9,"2023-04-28 12:59:20",849450,776335
795283,5,"2023-04-28 12:59:31",849450,776350
795303,5,"2023-04-28 12:59:43",849464,776370
795308,7,"2023-04-28 12:59:44",849450,776375
795332,10,"2023-04-28 12:59:56",849450,776396
795360,7,"2023-04-28 13:00:06",849450,776423
795394,5,"2023-04-28 13:00:22",849103,776456
795406,7,"2023-04-28 13:00:29",849103,776468
795422,14,"2023-04-28 13:00:37",849450,776484
795430,11,"2023-04-28 13:00:41",849103,776491
795462,12,"2023-04-28 13:00:54",849103,776522
795482,7,"2023-04-28 13:01:04",849103,776540
795496,9,"2023-04-28 13:01:09",849103,776554
795567,8,"2023-04-28 13:01:47",849103,776624
795576,11,"2023-04-28 13:01:51",849946,776632
795590,11,"2023-04-28 13:01:58",849103,776646
795602,13,"2023-04-28 13:02:02",849946,776658
795769,11,"2023-04-28 13:03:10",849946,776823
795797,12,"2023-04-28 13:03:24",849451,776850
795817,5,"2023-04-28 13:03:34",849451,776869
795851,13,"2023-04-28 13:03:58",849451,776903
795861,8,"2023-04-28 13:04:05",849488,776913
795944,12,"2023-04-28 13:04:49",849451,776994
795962,5,"2023-04-28 13:04:55",849497,777012
795970,10,"2023-04-28 13:05:01",849451,777021
795999,8,"2023-04-28 13:05:10",849497,777049
796042,9,"2023-04-28 13:05:30",849497,777089
796057,15,"2023-04-28 13:05:35",849497,777104
796083,13,"2023-04-28 13:05:45",849488,777128
796088,10,"2023-04-28 13:05:46",849490,777133
796122,9,"2023-04-28 13:06:00",849981,777166
796129,6,"2023-04-28 13:06:03",849490,777173
796137,13,"2023-04-28 13:06:07",849981,777181
796138,12,"2023-04-28 13:06:08",849488,777182
796141,11,"2023-04-28 13:06:10",849490,777185
796151,10,"2023-04-28 13:06:15",849981,777195
796163,9,"2023-04-28 13:06:20",849981,777205
796177,11,"2023-04-28 13:06:26",849981,777219
796190,7,"2023-04-28 13:06:32",849981,777232
796208,7,"2023-04-28 13:06:37",849981,777249
796217,7,"2023-04-28 13:06:42",849981,777258
796231,7,"2023-04-28 13:06:47",849981,777272
796245,14,"2023-04-28 13:06:54",849983,777286
796292,11,"2023-04-28 13:07:15",849983,777332
796320,5,"2023-04-28 13:07:29",849983,777358
796337,13,"2023-04-28 13:07:35",849983,777375
796395,6,"2023-04-28 13:08:05",849983,777432
796411,9,"2023-04-28 13:08:13",849488,777448
796437,7,"2023-04-28 13:08:21",849488,777473
796450,5,"2023-04-28 13:08:26",849983,777485
796478,14,"2023-04-28 13:08:36",849983,777511
796537,8,"2023-04-28 13:09:05",849995,777570
796611,5,"2023-04-28 13:09:38",849995,777643
796630,6,"2023-04-28 13:09:50",849995,777661
796648,15,"2023-04-28 13:09:59",849497,777678
796651,6,"2023-04-28 13:10:02",849995,777681
796691,9,"2023-04-28 13:10:22",849497,777719
796703,8,"2023-04-28 13:10:28",849974,777731
796747,14,"2023-04-28 13:10:57",849974,777775
796771,6,"2023-04-28 13:11:10",849974,777797
796775,5,"2023-04-28 13:11:13",849445,777801
796801,5,"2023-04-28 13:11:27",849974,777825
796810,6,"2023-04-28 13:11:31",850007,777833
796823,7,"2023-04-28 13:11:37",849974,777846
796824,15,"2023-04-28 13:11:37",850007,777847
796835,11,"2023-04-28 13:11:43",849974,777858
796857,12,"2023-04-28 13:11:54",849974,777880
796879,9,"2023-04-28 13:12:04",849974,777902
796890,15,"2023-04-28 13:12:10",849974,777913
796927,10,"2023-04-28 13:12:25",849445,777949
796931,7,"2023-04-28 13:12:26",849488,777953
796957,12,"2023-04-28 13:12:40",850006,777978
796984,12,"2023-04-28 13:12:50",849488,778005
797019,9,"2023-04-28 13:13:07",850006,778038
797041,11,"2023-04-28 13:13:18",850006,778060
797042,13,"2023-04-28 13:13:18",849488,778061
797062,10,"2023-04-28 13:13:27",850006,778081
797065,7,"2023-04-28 13:13:28",849488,778084
797086,10,"2023-04-28 13:13:35",849445,778104
797093,10,"2023-04-28 13:13:36",850006,778111
797095,7,"2023-04-28 13:13:38",849488,778113
797124,9,"2023-04-28 13:13:51",850006,778142
797147,11,"2023-04-28 13:14:02",850006,778165
797228,5,"2023-04-28 13:14:34",850006,778243
797278,10,"2023-04-28 13:14:57",849445,778293
797282,11,"2023-04-28 13:15:00",849460,778296
797287,11,"2023-04-28 13:15:02",850006,778302
797295,15,"2023-04-28 13:15:07",849460,778309
797322,6,"2023-04-28 13:15:19",849460,778335
797363,6,"2023-04-28 13:15:35",849460,778376
797379,8,"2023-04-28 13:15:45",849460,778391
797572,7,"2023-04-28 13:17:20",849445,778580
797692,8,"2023-04-28 13:18:14",850039,778695
797775,8,"2023-04-28 13:18:49",850031,778777
797780,14,"2023-04-28 13:18:51",850039,778782
797791,15,"2023-04-28 13:18:57",850031,778793
797822,5,"2023-04-28 13:19:10",850039,778824
797860,14,"2023-04-28 13:19:31",850039,778860
797881,13,"2023-04-28 13:19:42",850039,778880
798319,11,"2023-04-28 13:22:47",849445,779312
798322,9,"2023-04-28 13:22:48",849452,779315
798338,7,"2023-04-28 13:22:55",849452,779331
798366,7,"2023-04-28 13:23:06",849479,779357
798368,13,"2023-04-28 13:23:07",849452,779359
798382,8,"2023-04-28 13:23:11",849445,779373
798389,9,"2023-04-28 13:23:13",849452,779380
798405,5,"2023-04-28 13:23:19",849452,779395
798409,12,"2023-04-28 13:23:20",849479,779398
798418,13,"2023-04-28 13:23:23",849445,779407
798423,7,"2023-04-28 13:23:25",849452,779412
798425,13,"2023-04-28 13:23:26",849438,779414
798447,7,"2023-04-28 13:23:35",849452,779436
798458,6,"2023-04-28 13:23:38",849438,779447
798470,7,"2023-04-28 13:23:43",849452,779459
798499,10,"2023-04-28 13:23:50",849438,779487
798500,7,"2023-04-28 13:23:51",849445,779488
798521,8,"2023-04-28 13:23:58",849438,779508
798522,5,"2023-04-28 13:23:59",850058,779509
798526,13,"2023-04-28 13:23:59",849452,779513
798541,7,"2023-04-28 13:24:04",849445,779528
798546,15,"2023-04-28 13:24:06",849452,779533
798551,11,"2023-04-28 13:24:09",849438,779537
798560,11,"2023-04-28 13:24:12",849479,779546
798569,14,"2023-04-28 13:24:15",849692,779555
798571,11,"2023-04-28 13:24:15",850058,779557
798578,7,"2023-04-28 13:24:20",849438,779564
798592,15,"2023-04-28 13:24:26",849479,779577
798593,8,"2023-04-28 13:24:26",850058,779578
798597,15,"2023-04-28 13:24:28",849692,779582
798604,14,"2023-04-28 13:24:33",849438,779589
798605,14,"2023-04-28 13:24:33",849479,779590
798609,8,"2023-04-28 13:24:34",850058,779594
798616,11,"2023-04-28 13:24:37",849692,779601
798629,12,"2023-04-28 13:24:44",850058,779614
798633,13,"2023-04-28 13:24:44",849438,779618
798645,15,"2023-04-28 13:24:50",849692,779630
798650,8,"2023-04-28 13:24:52",849479,779635
798658,9,"2023-04-28 13:24:56",849438,779643
798666,9,"2023-04-28 13:24:58",850058,779650
798682,11,"2023-04-28 13:25:06",849438,779666
798685,11,"2023-04-28 13:25:07",849489,779669
798686,10,"2023-04-28 13:25:07",849487,779670
798696,6,"2023-04-28 13:25:12",850058,779680
798707,10,"2023-04-28 13:25:19",849489,779691
798710,15,"2023-04-28 13:25:20",849692,779694
798714,10,"2023-04-28 13:25:21",850058,779698
798726,14,"2023-04-28 13:25:28",849487,779710
798728,7,"2023-04-28 13:25:29",849692,779712
798742,5,"2023-04-28 13:25:34",849692,779726
798760,9,"2023-04-28 13:25:42",849692,779742
798767,10,"2023-04-28 13:25:45",849487,779749
798782,15,"2023-04-28 13:25:51",849436,779764
798785,6,"2023-04-28 13:25:52",849692,779767
798833,11,"2023-04-28 13:26:15",850057,779813
798838,15,"2023-04-28 13:26:19",849469,779818
798840,9,"2023-04-28 13:26:19",849436,779820
798852,13,"2023-04-28 13:26:23",850057,779832
798869,9,"2023-04-28 13:26:30",850057,779849
798882,14,"2023-04-28 13:26:33",849436,779862
798890,10,"2023-04-28 13:26:38",849489,779870
798911,15,"2023-04-28 13:26:48",850057,779891
798917,9,"2023-04-28 13:26:49",847375,779897
798937,8,"2023-04-28 13:26:56",849487,779917
798938,14,"2023-04-28 13:26:56",850057,779918
798951,12,"2023-04-28 13:27:00",847375,779930
798952,15,"2023-04-28 13:27:00",849469,779931
798959,14,"2023-04-28 13:27:03",849489,779938
798963,13,"2023-04-28 13:27:04",850057,779942
798968,10,"2023-04-28 13:27:05",850077,779947
798986,15,"2023-04-28 13:27:10",847375,779964
798990,8,"2023-04-28 13:27:11",849489,779968
798994,7,"2023-04-28 13:27:12",849439,779972
799021,5,"2023-04-28 13:27:19",849487,779999
799022,8,"2023-04-28 13:27:20",849436,780000
799023,10,"2023-04-28 13:27:20",849439,780001
799028,7,"2023-04-28 13:27:21",850077,780006
799034,12,"2023-04-28 13:27:23",849489,780012
799039,8,"2023-04-28 13:27:24",847375,780017
799071,10,"2023-04-28 13:27:32",849439,780049
799082,10,"2023-04-28 13:27:35",847375,780060
799087,13,"2023-04-28 13:27:37",849436,780065
799093,14,"2023-04-28 13:27:37",849446,780071
799102,8,"2023-04-28 13:27:42",850077,780080
799106,12,"2023-04-28 13:27:42",849436,780084
799113,7,"2023-04-28 13:27:44",847375,780091
799118,5,"2023-04-28 13:27:45",849439,780096
799125,13,"2023-04-28 13:27:47",850077,780103
799128,7,"2023-04-28 13:27:49",849446,780106
799148,12,"2023-04-28 13:27:55",849436,780126
799149,15,"2023-04-28 13:27:55",850077,780127
799159,9,"2023-04-28 13:27:56",849549,780137
799175,7,"2023-04-28 13:28:02",847375,780153
799181,6,"2023-04-28 13:28:04",849504,780159
799193,12,"2023-04-28 13:28:08",849549,780171
799202,14,"2023-04-28 13:28:10",850077,780180
799210,5,"2023-04-28 13:28:13",847375,780188
799215,6,"2023-04-28 13:28:15",849559,780193
799221,13,"2023-04-28 13:28:16",849549,780199
799230,8,"2023-04-28 13:28:18",850077,780208
799233,14,"2023-04-28 13:28:18",849436,780211
799243,5,"2023-04-28 13:28:21",849504,780221
799251,7,"2023-04-28 13:28:23",849559,780229
799254,12,"2023-04-28 13:28:24",847375,780232
799277,11,"2023-04-28 13:28:30",849504,780255
799280,8,"2023-04-28 13:28:30",849436,780258
799297,14,"2023-04-28 13:28:36",849559,780275
799303,10,"2023-04-28 13:28:37",849439,780280
799305,15,"2023-04-28 13:28:38",849436,780282
799332,6,"2023-04-28 13:28:46",849439,780309
799335,5,"2023-04-28 13:28:47",849559,780312
799340,5,"2023-04-28 13:28:49",849469,780317
799360,9,"2023-04-28 13:28:54",849549,780337
799366,7,"2023-04-28 13:28:56",849559,780343
799378,6,"2023-04-28 13:28:58",849469,780355
799386,11,"2023-04-28 13:29:01",849504,780363
799393,9,"2023-04-28 13:29:03",849439,780369
799397,11,"2023-04-28 13:29:05",849549,780373
799399,5,"2023-04-28 13:29:05",849469,780375
799407,10,"2023-04-28 13:29:07",849559,780383
799419,5,"2023-04-28 13:29:10",849439,780394
799431,12,"2023-04-28 13:29:14",849549,780406
799435,11,"2023-04-28 13:29:15",849446,780410
799447,8,"2023-04-28 13:29:19",849559,780422
799456,6,"2023-04-28 13:29:21",849504,780431
799459,11,"2023-04-28 13:29:22",849549,780434
799475,9,"2023-04-28 13:29:28",849469,780450
799478,11,"2023-04-28 13:29:29",849549,780453
799480,11,"2023-04-28 13:29:30",849504,780455
799499,13,"2023-04-28 13:29:36",849446,780474
799503,8,"2023-04-28 13:29:37",849504,780478
799514,11,"2023-04-28 13:29:41",849670,780489
799517,14,"2023-04-28 13:29:43",849559,780493
799531,9,"2023-04-28 13:29:47",849504,780505
799538,14,"2023-04-28 13:29:48",849670,780512
799542,10,"2023-04-28 13:29:51",849559,780516
799546,11,"2023-04-28 13:29:51",849446,780520
799558,13,"2023-04-28 13:29:55",849670,780532
