id,question_text,created_at
426,"왠지 궁금해지는 사람은?","2023-05-02 05:32:56"
427,"요즘 유행하는 밈을 다 알고 있을 것 같은 사람은?","2023-05-02 05:32:56"
428,"의외로 눈물이 많을 것 같은 사람은?","2023-05-02 05:32:57"
429,"의외로 요리를 잘할 것 같은 사람은?","2023-05-02 05:32:57"
430,"이 친구 굉장하다","2023-05-02 05:32:57"
431,"이 친구 폼 미쳤다","2023-05-02 05:32:57"
432,"매일 탕후루 하나씩 먹을 것 같은 사람은?","2023-05-02 05:32:58"
433,"토스트만 먹고도 살 것 같은 사람은?","2023-05-02 05:32:58"
434,"침착한 매력이 있는 친구","2023-05-02 05:32:58"
435,"패싸움이 났을 때 제일 먼저 부르고 싶은 사람은?","2023-05-02 05:32:58"
436,"평생 갈 것 같은 친구는?","2023-05-02 05:32:58"
437,"ENFJ에 가장 가까울 것 같은 사람은?","2023-05-02 05:32:59"
438,"ENFP에 가장 가까울 것 같은 사람은?","2023-05-02 05:32:59"
439,"ENTJ에 가장 가까울 것 같은 사람은?","2023-05-02 05:32:59"
440,"ENTP에 가장 가까울 것 같은 사람은?","2023-05-02 05:33:00"
441,"ESFJ에 가장 가까울 것 같은 사람은?","2023-05-02 05:33:00"
442,"ESFP에 가장 가까울 것 같은 사람은?","2023-05-02 05:33:00"
443,"ESTJ에 가장 가까울 것 같은 사람은?","2023-05-02 05:33:00"
444,"ESTP에 가장 가까울 것 같은 사람은?","2023-05-02 05:33:01"
445,"INFJ에 가장 가까울 것 같은 사람은?","2023-05-02 05:33:01"
446,"INFP에 가장 가까울 것 같은 사람은?","2023-05-02 05:33:01"
447,"INTJ에 가장 가까울 것 같은 사람은?","2023-05-02 05:33:01"
448,"INTP에 가장 가까울 것 같은 사람은?","2023-05-02 05:33:02"
449,"ISFJ에 가장 가까울 것 같은 사람은?","2023-05-02 05:33:02"
450,"ISFP에 가장 가까울 것 같은 사람은?","2023-05-02 05:33:02"
451,"ISTJ에 가장 가까울 것 같은 사람은?","2023-05-02 05:33:02"
452,"ISTP에 가장 가까울 것 같은 사람은?","2023-05-02 05:33:03"
453,"말투가 제일 귀여운 사람은?","2023-05-02 05:33:03"
454,"머리 쓰담쓰담하고 싶은 사람은?","2023-05-02 05:33:03"
455,"보고 있으면 흐뭇한 미소가 지어지는 사람은?","2023-05-02 05:33:03"
456,"볼살이 귀여운 사람은?","2023-05-02 05:33:04"
457,"표정이 귀여운 사람은?","2023-05-02 05:33:04"
458,"해맑은 매력이 있는 친구는?","2023-05-02 05:33:04"
459,"10년 안에 연예인이 될 것 같은 사람은?","2023-05-02 05:33:05"
460,"농부가 될 가능성이 가장 높은 사람은?","2023-05-02 05:33:05"
461,"눈빛이 살아있는 친구는?","2023-05-02 05:33:05"
462,"릴스 100만뷰 찍을 것 같은 사람은?","2023-05-02 05:33:05"
463,"말하는게 다른 친구들이랑 다른 사람은?","2023-05-02 05:33:06"
464,"뭔가 제대로 한 번 보여줄 것 같은 사람은?","2023-05-02 05:33:06"
465,"어부가 될 가능성이 가장 높은 사람은?","2023-05-02 05:33:06"
466,"오디션에 나가서 최종합격할 것 같은 사람은?","2023-05-02 05:33:06"
467,"자연인이 될 가능성이 가장 높은 사람은?","2023-05-02 05:33:06"
468,"존재감이 가장 큰 사람은?","2023-05-02 05:33:07"
469,"의사가 될 것 같은 사람은?","2023-05-02 05:33:07"
470,"발가락이 귀여울 것 같은 친구는?","2023-05-02 05:33:07"
471,"가장 시원하고 상큼한 매력이 있는 사람은?","2023-05-02 05:33:07"
472,"다리가 가장 긴 것 같은 친구는?","2023-05-02 05:33:08"
473,"복숭아같은 친구","2023-05-02 05:33:08"
474,"나중에 이 친구가 결혼하면 침대를 선물해주고 싶어","2023-05-02 05:33:08"
475,"기타를 잘치는 사람","2023-05-02 05:33:08"
476,"거의 움직이지 않는 친구는?","2023-05-02 05:33:08"
477,"항상 냄새를 맡으려고 하는 친구는?","2023-05-02 05:33:09"
478,"범죄현장을 지나다가 억울하게 발자국을 남길 것 같은 사람은?","2023-05-02 05:33:09"
479,"치킨 중독인 것 같은 사람은?","2023-05-02 05:33:10"
480,"안기고 싶은 사람","2023-05-02 05:33:10"
481,"예의바른 사람","2023-05-02 05:33:10"
482,"되게 꼼꼼한 친구","2023-05-02 05:33:11"
483,vote,"2023-05-02 05:33:11"
484,"잠시라도 이성으로 보인 적 있다","2023-05-02 05:33:11"
485,"매일 담요랑 한 몸인 사람","2023-05-02 05:33:11"
486,"추운 날 핫팩을 챙겨주고 싶은 사람","2023-05-02 05:33:12"
487,"독특한 매력이 있는 사람은?","2023-05-02 05:33:12"
488,"솔직한 모습이 멋진 사람은?","2023-05-02 05:33:12"
489,"지구가 1주일 뒤에 멸망한다면 누구랑 있고 싶어?","2023-05-02 05:33:13"
490,"추운 날 외투를 벗어줄 수 있는 사람","2023-05-02 05:33:13"
491,"조언이 필요할 때 가장 먼저 찾는 친구는?","2023-05-02 05:33:13"
492,"말랑말랑할 것 같은 친구는?","2023-05-02 05:33:13"
493,"내 비밀을 가장 많이 알고 있는 친구","2023-05-02 05:33:14"
494,"먹방 찍으면 100만 유튜버가 될 것 같은 친구","2023-05-02 05:33:14"
495,"전화를 절대 안받는 친구","2023-05-02 05:33:14"
496,"항상 행복해보이는 친구","2023-05-02 05:33:15"
497,"가족이랑 가장 화목해보이는 친구","2023-05-02 05:33:15"
498,"아기랑 잘 놀아줄 것 같은 친구","2023-05-02 05:33:15"
499,"인생네컷 찍으러 가자!","2023-05-02 05:33:16"
500,"말투가 제일 특이한 친구","2023-05-02 05:33:16"
501,"제일 말을 예쁘게 하는 친구","2023-05-02 05:33:16"
502,"좋고 싫음이 분명한 친구","2023-05-02 05:33:16"
503,"여기서 제일 멋진 친구","2023-05-02 05:33:17"
504,"얘랑 있으면 시간이 너무 빨리가는것 같아","2023-05-02 05:33:17"
505,"시간을 멈추는 능력이 있다면 누구를 보러갈래?","2023-05-02 05:33:17"
506,"천둥번개가 치면 연락하고 싶은 사람은?","2023-05-02 05:33:18"
507,"비가 오면 연락하고 싶은 사람은?","2023-05-02 05:33:18"
508,"은하수를 같이 보고싶은 사람","2023-05-02 05:33:18"
509,"별보러 가자고 말하고 싶은 사람","2023-05-02 05:33:18"
510,"달리기가 가장 빠른 사람은?","2023-05-02 05:33:19"
511,"같이 수영장 가면 진짜 수영만 할 것 같은 사람은?","2023-05-02 05:33:19"
512,"마사지 해줬으면 좋겠는 사람은?","2023-05-02 05:33:19"
513,"이번 겨울에 스키장 같이 가고 싶은 사람은?","2023-05-02 05:33:20"
514,"내가 좀비가 되면 가장 먼저 찾아갈 사람은?","2023-05-02 05:33:20"
515,"코가 가장 예쁜 사람은?","2023-05-02 05:33:20"
516,"매일 공유킥보드 타고 다니는 친구는?","2023-05-02 05:33:20"
517,"같이 캠핑을 가보고 싶은 사람은?","2023-05-02 05:33:20"
518,"감수성이 풍부한 사람은?","2023-05-02 05:33:21"
519,"콧수염을 기르면 잘 어울릴 것 같은 사람은?","2023-05-02 05:33:21"
520,"맛있는 거 먹을 때 이 표정인 친구는?","2023-05-02 05:33:21"
521,"가장 깔끔할 것 같은 친구는?","2023-05-02 05:33:21"
522,"리액션이 대박인 사람은?","2023-05-02 05:33:22"
523,"나중에 탐정이 될 것 같은 친구는?","2023-05-02 05:33:22"
524,"웃는 모습이 호감인 친구는?","2023-05-02 05:33:22"
525,"하품을 제일 많이 하는 사람","2023-05-02 05:33:23"
526,"똘끼 G.O.A.T","2023-05-02 05:33:23"
527,"같이 해외여행을 가보고 싶은 친구는?","2023-05-02 05:33:23"
528,"내가 좋은 일이 있을 때 가장 축하를 잘해줄 것 같은 사람은?","2023-05-02 05:33:23"
529,"젓가락질을 가장 잘할 것 같은 사람은?","2023-05-02 05:33:24"
530,"나중에 술한잔 둘이서 하고 싶은 친구는?","2023-05-02 05:33:24"
531,"길을 잘 찾는 사람은?","2023-05-02 05:33:24"
532,"슬픈 영화를 보면 울 것 같은 사람은?","2023-05-02 05:33:24"
533,"육개장 건더기 다 남길 것 같은 사람은?","2023-05-02 05:33:24"
534,"내가 아는 최고의 타짜","2023-05-02 05:33:24"
535,"맥날 성애자","2023-05-02 05:33:25"
536,"영앤리치가 될 것 같은 사람은?","2023-05-02 05:33:25"
537,"금지된 것을 더 추구할 것 같은 사람은?","2023-05-02 05:33:25"
538,"이모티콘만 보고 알아서 상상해서 골라봐","2023-05-02 05:33:25"
539,"앞으로 계속 승승장구할 것 같은 친구","2023-05-02 05:33:25"
540,"가장 자유로운 친구는?","2023-05-02 05:33:25"
541,"안아주고 싶은 사람은?","2023-05-02 05:33:26"
542,"뭐든 다 잘하는 친구는?","2023-05-02 05:33:26"
543,"모히또 가서 몰디브 한 잔 하고 싶은 사람?","2023-05-02 05:33:26"
544,"선택지에 있는 사람들 중 말싸움 1등일 것 같은 사람은?","2023-05-02 05:33:26"
545,"호기심이 가장 많을 것 같은 사람은?","2023-05-02 05:33:26"
546,"마주치면 심장 뛰는 사람은?","2023-05-02 05:33:26"
547,"볼 때마다 심장이 두근거리는 사람은?","2023-05-02 05:33:26"
548,"가장 몸이 좋은 사람은?","2023-05-02 05:33:27"
549,"계란후라이 먹고 갈래?","2023-05-02 05:33:27"
550,"매일 라면만 먹고 살 수 있을 것 같은 친구는?","2023-05-02 05:33:27"
551,"우리 집에서 크로와상 먹고 갈래?","2023-05-02 05:33:27"
552,"연애하면 도시락 싸다줄 것 같은 사람은?","2023-05-02 05:33:27"
553,"라면 잘 끓일 것 같은 사람은?","2023-05-02 05:33:27"
554,"밀크티 버블티 성애자","2023-05-02 05:33:27"
555,"까도 까도 새로운 매력이 계속 나오는 친구는?","2023-05-02 05:33:28"
556,"가장 달콤한 친구","2023-05-02 05:33:28"
557,"가을에 단풍보러 가고 싶은 사람은?","2023-05-02 05:33:28"
558,"고독한 감성이 있을 것 같은 사람은?","2023-05-02 05:33:28"
559,"일본 감성을 가지고 있는 친구는?","2023-05-02 05:33:28"
560,"운이 좋은 것 같은 사람은?","2023-05-02 05:33:28"
561,"얘랑 친해지면 세상 모두랑 친해질 수 있을 것 같았던 사람은?","2023-05-04 03:36:37"
562,"음식 취향이 잘맞는 사람은?","2023-05-11 15:52:17"
563,"모둠활동할 때 버스 태워줄 것 같은 사람은?","2023-05-11 15:52:18"
564,"설레면 콧구멍이 커지는 친구는?","2023-05-11 15:52:18"
565,"내가 좋아하는 사람은?","2023-05-11 15:52:19"
566,"옷 잘입는 친구를 골라봐!","2023-05-11 15:52:19"
567,"마피아 게임 사회를 제일 잘 볼 것 같은 사람은?","2023-05-11 15:52:19"
568,"인생네컷을 제일 많이 찍었을 것 같은 사람은?","2023-05-11 15:52:20"
569,"오늘 가장 만나고 싶은 사람은?","2023-05-11 15:52:20"
570,"웃는 모습이 제일 웃긴 사람은?","2023-05-11 15:52:21"
571,"데이트하고 싶은 사람은?","2023-05-11 15:52:21"
572,"카페 가서 매일 아아만 시킬 것 같은 사람은?","2023-05-11 15:52:21"
573,"가장 오래된 친구는?","2023-05-11 15:52:22"
574,"밥을 이쁘게 먹을 것 같은 친구는?","2023-05-11 15:52:22"
575,"가장 운동을 좋아할 것 같은 사람은?","2023-05-11 15:52:22"
576,"국밥 데이트를 하고 싶은 사람은?","2023-05-11 15:52:22"
577,"학교에 얘가 없으면 심심할 것 같은 사람은?","2023-05-11 15:52:23"
578,"좀비 사태가 벌어져도 가장 오래 살아남을 것 같은 사람은?","2023-05-11 15:52:23"
579,"같이 파자마파티 하고 싶은 사람은?","2023-05-11 15:52:24"
580,"가장 마음이 여린 사람은?","2023-05-11 15:52:24"
581,"나쁜 사람들한테 당하고 있을 때 부르고 싶은 사람은?","2023-05-11 15:52:25"
582,"노래방에서 가장 신나게 놀 것 같은 사람은?","2023-05-11 15:52:25"
583,"매일 마라탕만 먹는 것 같은 사람은?","2023-05-11 15:52:25"
584,"우리 학교에서 제일 간지나는 사람은?","2023-05-11 15:52:25"
585,"놀러갈 때 계획을 제일 상세하게 짤 것 같은 사람은?","2023-05-11 15:52:26"
586,"제일 친해지고 싶다고 생각했던 친구는?","2023-05-11 15:52:26"
587,"왠지 흑역사가 있어서 이불킥할 것 같은 친구는?","2023-05-11 15:52:26"
588,"지금 돈을 빌려달라고 하면 바로 빌려줄 수 있는 친구는?","2023-05-11 15:52:27"
589,"결혼을 가장 빨리 할 것 같은 친구는?","2023-05-11 15:52:27"
590,"항상 잘 웃고다니는 친구는?","2023-05-11 15:52:27"
591,"MBTI가 CUTE일 것 같은 친구는?","2023-05-11 15:52:27"
592,"MBTI가 RICH일 것 같은 친구는?","2023-05-11 15:52:28"
593,"가장 마해자인 친구는?","2023-05-11 15:52:28"
594,"모솔이 아닐 것 같은 친구는?","2023-05-11 15:52:28"
595,"얘가 꼬시면 넘어가줄 수 있다","2023-05-11 15:52:29"
596,"치킨 퍽퍽살을 더 좋아할 것 같은 친구는?","2023-05-11 15:52:29"
597,"방탈출게임에서 제일 진지할 것 같은 사람은?","2023-05-11 15:52:29"
598,"가장 잘보이고 싶은 사람이 누구야?","2023-05-11 15:52:30"
599,"시험 보는 날 컴싸 안들고 올 것 같은 친구는?","2023-05-11 15:52:30"
600,"지금 집앞에 놀자고 나오라고 하고싶은 친구는?","2023-05-11 15:52:30"
601,"벌레 보면 바로 도망갈 것 같은 친구는?","2023-05-11 15:52:31"
602,"눈이 가장 높을 것 같은 사람은?","2023-05-11 15:52:31"
603,"여기서 내가 제일 아끼는 친구는?","2023-05-11 15:52:31"
604,"부모님한테 가장 잘할 것 같은 친구는?","2023-05-11 15:52:32"
605,"꿈에서 만나고 싶은 사람은?","2023-05-11 15:52:32"
606,"가장 전애인과 닮은 사람은?","2023-05-11 15:52:33"
607,"졸업하고 나서도 계속 연락할 것 같은 사람은?","2023-05-11 15:52:33"
608,"가장 청순해보이는 사람은?","2023-05-11 15:52:33"
609,"SKY 합격할 것 같은 사람은?","2023-05-11 15:52:34"
610,"지금 비밀연애를 하고 있을 것 같은 사람은?","2023-05-11 15:52:34"
611,"유튜브 같이 하고싶은 친구는?","2023-05-11 15:52:34"
612,"평소에는 조용한데 친해지면 저세상 텐션인 사람은?","2023-05-11 15:52:35"
613,"프로필이 가장 신나보이는 사람은?","2023-05-11 15:52:35"
614,"가장 잠을 좋아할 것 같은 사람은?","2023-05-11 15:52:36"
615,"동성한테 인기가 엄청 많을 것 같은 사람은?","2023-05-11 15:52:36"
616,"전생에 나와 부부였을 것 같은 사람은?","2023-05-11 15:52:37"
617,"첫사랑 이미지와 닮은 사람은?","2023-05-11 15:52:37"
618,"첫인상이 똑똑해보였던 사람은?","2023-05-11 15:52:37"
619,"일어나자마자 보고싶은 사람은?","2023-05-11 15:52:38"
620,"휴대폰 손에 들고 휴대폰 어디있냐고 할 것 같은 친구","2023-05-11 15:52:38"
621,"장거리 연애를 잘할 것 같은 사람은?","2023-05-11 15:52:38"
622,"친화력이 제일 좋은 사람은?","2023-05-11 15:52:39"
623,"무의식중에 얘 괜찮네 라는 생각을 해본 사람","2023-05-11 15:52:39"
624,"같이 야구장 가보고싶은 친구","2023-05-11 15:52:39"
625,"은근 집돌이 집순이일 것 같은 사람은?","2023-05-11 15:52:40"
626,"고백하면 받아줄 수 있는 사람은?","2023-05-11 15:52:40"
627,"내가 왕따를 당할 때 내 편에 서줄 것 같은 사람은?","2023-05-11 15:52:40"
628,"불의를 보면 못 참을 것 같은 사람","2023-05-11 15:52:41"
629,"약속이 취소되면 오히려 좋아할 것 같은 사람","2023-05-11 15:52:41"
630,"전생에 가장 부자였을 것 같은 사람은?","2023-05-11 15:52:41"
631,"인스타를 제일 열심히 하는 사람은?","2023-05-11 15:52:42"
632,"교복이 가장 잘 어울리는 사람은?","2023-05-11 15:52:42"
633,"pc방에 같이 가고싶은 사람은?","2023-05-11 15:52:42"
634,"공부 물어보면 잘 알려주는 친구는?","2023-05-11 15:52:42"
635,"가장 생각이 많은 친구는?","2023-05-11 15:52:43"
636,"민초를 제일 좋아할 것 같은 민초러는?","2023-05-11 15:52:43"
637,"연애를 되게 길게 할 것 같은 사람은?","2023-05-11 15:52:44"
638,"가장 긍정에너지가 좋은 사람은?","2023-05-11 15:52:44"
639,vote,"2023-05-11 15:52:44"
640,"방에서 좋은 향이 날 것 같은 사람은?","2023-05-11 15:52:44"
641,"콘서트 티케팅을 잘할 것 같은 사람은?","2023-05-11 15:52:45"
642,"누군가가 남몰래 좋아하고 있을 것 같은 사람은?","2023-05-11 15:52:45"
643,"누군가의 첫사랑이었을 것 같은 사람은?","2023-05-11 15:52:45"
644,"우리 학교를 가장 좋아할 것 같은 사람은?","2023-05-11 15:52:45"
645,"최근 외모에 물이 오른 것 같은 사람은?","2023-05-11 15:52:46"
646,"4명이 물에 빠졌을 때 가장 먼저 구하고 싶은 사람은?","2023-05-11 15:52:46"
647,"4명이 동시에 고백하면 누구를 받아줄래?","2023-05-11 15:52:46"
648,"4명이 미팅을 나가면 누가 가장 인기가 많을까?","2023-05-11 15:52:47"
649,"콜라 원샷하고 트름 안할 것 같은 사람은?","2023-05-11 15:52:47"
650,"모의고사 올 1등급 받을 것 같은 사람은?","2023-05-11 15:52:47"
651,"미래에 배우자에게 가장 잘해줄 것 같은 친구","2023-05-11 15:52:48"
652,"바퀴벌레가 되었을 때 가장 키우고 싶은 사람은?","2023-05-11 15:52:48"
663,"내년에 같은 반 되고 싶은 친구 있어?","2023-05-15 13:58:12"
664,"어떤 머리 색이든 다 잘 어울리는 친구는?","2023-05-15 13:58:13"
665,"모델하면 잘 어올릴 것 같은 사람은?","2023-05-15 13:58:13"
666,"이중에 벽치기 당하고 싶은 사람","2023-05-15 13:58:13"
667,"삭발 어울릴 것 같은 친구","2023-05-15 13:58:14"
668,"사과할 일 있는데 연락 못하고 있는 친구","2023-05-15 13:58:14"
669,"머리 묶은게 잘 어울리는 사람은?","2023-05-15 13:58:15"
670,"자기 관리를 제일 잘하는 사람은?","2023-05-15 13:58:15"
671,"핸드폰을 가장 많이 떨어트리는 사람은?","2023-05-15 13:58:15"
672,"텐션이 제일 높은 사람은?","2023-05-15 13:58:16"
673,"체육대회때 이인삼각 뛴다면 누구랑 뛰고 싶어?","2023-05-15 13:58:16"
674,"결혼을 자기가 원하는 사람과 할 수 있을 것 같은 사람은?","2023-05-15 13:58:16"
675,"요즘따라 재미있는 친구는 ?","2023-05-15 13:58:17"
676,"지금 내 생각하고 있으면 좋겠는사람","2023-05-15 13:58:17"
677,"만나자고하면 맨날 귀찮다고 하는 친구","2023-05-15 13:58:18"
678,"분위기가 예쁜 사람","2023-05-15 13:58:18"
679,"디엠을 가장 오랫동안 안 보는 사람","2023-05-15 13:58:18"
680,"나중에 술에 취해 "자니...?"라고 보낼 것 같은 사람은?","2023-05-15 13:58:19"
681,"매운걸 제일 잘 먹을 것 같은 사람은?","2023-05-15 13:58:19"
682,"단둘이 찜질방 가고 싶은 사람","2023-05-15 13:58:19"
683,"같이 보드게임 하고 싶은 친구","2023-05-15 13:58:19"
684,"연애에서 리드할 것 같은 사람은?","2023-05-15 13:58:20"
685,"반에서 분위기메이커일 것 같은 사람?","2023-05-15 13:58:20"
686,"비가 오는데 우산이 없는 상황, 누가 와줬으면 좋을까?","2023-05-15 13:58:21"
687,"결혼식에 축의금 제일 많이 낼 것 같은 사람","2023-05-15 13:58:21"
688,"같은 빨대로 음료수 마실 수 있는사람","2023-05-15 13:58:21"
689,"큰 돈이 생긴다면 바로 적금할 것 같은 사람","2023-05-15 13:58:21"
690,"데이트코스 잘 짤 것 같은 사람","2023-05-15 13:58:21"
691,"공부는 장비빨이지 하면서 필기구 30개 쓸 것 같은 사람","2023-05-15 13:58:21"
692,"같이 우산쓰면 자기 어깨가 다 젖어있을 것 같은 사람은?","2023-05-15 13:58:22"
693,"큐티청순가련뽀쨕애니여주인 친구","2023-05-15 13:58:22"
694,"말을 가장 잘하는 친구는?","2023-05-15 13:58:23"
695,"내가 죽으면 가장 슬퍼할 것 같은 사람은?","2023-05-15 13:58:23"
696,vote,"2023-05-15 13:58:24"
697,"가장 오래 살 것 같은 사람은?","2023-05-15 13:58:24"
698,"한복이 가장 잘 어울릴 것 같은 사람은?","2023-05-15 13:58:25"
699,"내 단짝친구에게 소개시켜주고 싶은 친구는?","2023-05-15 13:58:25"
700,"내가 생각하기에 제일 초코 아이스크림 같은 애는?","2023-05-15 13:58:26"
701,"음악 취향이 가장 잘 맞는 친구는?","2023-05-15 13:58:26"
702,"지구 멸망같은 상상 제일 많이 할 것 같은 사람은?","2023-05-15 13:58:26"
703,"반장 잘 할 것 같은 사람","2023-05-15 13:58:27"
704,"필기 잘 할 것 같은 친구는?","2023-05-15 13:58:27"
705,"퍼스널 컬러가 웜톤일 것 같은 사람은?","2023-05-15 13:58:27"
706,"퍼스널 컬러가 쿨톤일 것 같은 사람은?","2023-05-15 13:58:27"
707,"짝으로 앉고 싶은 사람","2023-05-15 13:58:28"
708,"놀이기구 탈 때 제일 소리 지르는 사람","2023-05-15 13:58:28"
709,"인기가 많은데 모를 것 같은 사람은?","2023-05-15 13:58:29"
710,"학교 복도에서 자주 보이는 사람은?","2023-05-15 13:58:29"
711,"놀기만 하는 것 같은데 성적이 좋은 사람은?","2023-05-15 13:58:30"
712,vote,"2023-05-15 13:58:30"
713,"드라마 찍으면 연기 제일 잘 할 것 같은 사람은?","2023-05-15 13:58:30"
714,"가장 재능충일 것 같은 친구는?","2023-05-15 13:58:31"
715,"가장 운동을 잘하는 사람은?","2023-05-15 13:58:31"
716,"가장 신뢰하는 친구는?","2023-05-15 13:58:31"
717,"티는 안 냈지만 얘 정말 좋다고 생각하는 사람","2023-05-15 13:58:32"
718,"거짓말 절대 못 할 것 같은 친구","2023-05-15 13:58:32"
719,"사회성이 가장 좋을 것 같은 사람은?","2023-05-15 13:58:33"
720,"매일 디엠하고 싶은 사람은?","2023-05-15 13:58:33"
721,"동창회 때 보면 제일 달라져 있을 것 같은 사람은?","2023-05-15 13:58:33"
722,"같이 엽떡 먹고 싶은 친구는?","2023-05-15 13:58:34"
723,"핑크가 가장 잘 어울리는 친구는?","2023-05-15 13:58:34"
724,"한 번쯤 이성적으로 호감을 느껴본 적 있는 사람은?","2023-05-15 13:58:35"
725,vote,"2023-05-15 13:58:35"
726,"배터리가 80%만 돼도 충전할 것 같은 사람","2023-05-15 13:58:35"
727,"바로 고백 갈기고 싶은 사람","2023-05-15 13:58:35"
728,"이 친구는 진짜 고양이상이다","2023-05-15 13:58:36"
729,"주사 맞는 거 무서워할 것 같은 친구","2023-05-15 13:58:36"
730,"인스타 인플루언서가 될 것 같은 사람은?","2023-05-15 13:58:37"
731,"제일 예쁘다고 생각되는 사람은?","2023-05-15 13:58:37"
732,"가장 똑똑할 것 같은 사람은?","2023-05-15 13:58:38"
733,"주사가 제일 궁금한 친구는?","2023-05-15 13:58:38"
734,"성격 쿨할 것 같은 사람","2023-05-15 13:58:39"
735,"연애를 가장 예쁘게 하는 사람","2023-05-15 13:58:39"
736,vote,"2023-05-15 13:58:40"
737,"봉준호, BTS, 손흥민, ○○○ Let's go","2023-05-15 13:58:40"
738,"수학여행때 장기자랑으로 띵띵땅땅 출 것 같은 사람은?","2023-05-15 13:58:41"
739,"선배같이 느껴지는 친구는?","2023-05-15 13:58:41"
740,"가장 현실적인 사람은?","2023-05-15 13:58:41"
741,"가장 열심히 사는 것 같은 사람은?","2023-05-15 13:58:42"
742,"리더, 조장 자리에 가장 잘 어울리는 사람은?","2023-05-15 13:58:42"
743,"가장 순수해보이는 사람은?","2023-05-15 13:58:43"
744,"같은 반이면 좋겠다","2023-05-15 13:58:43"
745,"죽었다 깨어나도 바람은 안 필 것 같은 사람은?","2023-05-15 13:58:44"
746,"마스크 벗은 모습이 궁금한 사람은?","2023-05-15 13:58:44"
747,"축의금으로 10만원 이상 넣어줄 것 같은 사람은?","2023-05-15 13:58:44"
748,"칭찬을 잘해주는 사람은?","2023-05-15 13:58:45"
749,"가장 유행을 잘 따라갈 것 같은 사람은?","2023-05-15 13:58:46"
750,"학원 같이 다니고 싶은 친구","2023-05-15 13:58:46"
751,"동물을 가장 좋아할 것 같은 사람","2023-05-15 13:58:47"
752,"아이돌이면 SM 소속사일 것 같은 사람","2023-05-15 13:58:48"
753,"다나카 성대모사를 잘 하는 사람은?","2023-05-15 13:58:48"
754,"선생님 성대모사를 가장 잘하는 친구는?","2023-05-15 13:58:48"
755,"슬픈 영상보면 가장 먼저 울 것 같은 사람","2023-05-15 13:58:49"
756,"두루두루 잘 지내는 사람","2023-05-15 13:58:49"
757,"욕을 가장 안쓰는 사람은?","2023-05-15 13:58:50"
758,"쉬는시간마다 뛰어다니는 사람은?","2023-05-15 13:58:50"
759,"몰래 짝사랑 하고 있을 것 같은 사람은?","2023-05-15 13:58:51"
760,"옛날에 유튜브해봤을 것 같은 사람은?","2023-05-15 13:58:51"
761,"무엇이든 잘 할 것 같은 사람은?","2023-05-15 13:58:52"
762,"애인에게 가장 스윗할 것 같은 사람","2023-05-15 13:58:52"
763,"가장 잘생긴 사람은?","2023-05-15 13:58:52"
764,"이 사람중 같이 밤산책 하고 싶은 사람은?","2023-05-15 13:58:53"
765,"가장 닮고 싶은 친구는?","2023-05-15 13:58:53"
766,"첫사랑을 못잊을 것 같은 사람은?","2023-05-15 13:58:54"
767,"성인되는 당일 같이 놀고 싶은 친구는?","2023-05-15 13:58:54"
768,"팔씨름 핑계로 손 잡고 싶은 사람은?","2023-05-15 13:58:55"
769,"하이파이브 하는 척 손 한 번 마주치고 싶은 사람은?","2023-05-15 13:58:55"
770,"가장 꾸안꾸인 사람은?","2023-05-15 13:58:55"
