id,is_voted,created_at,question_id,is_skipped
998458,1,"2023-04-28 12:27:22",252,0
998459,1,"2023-04-28 12:27:22",244,0
998460,1,"2023-04-28 12:27:22",183,0
998461,1,"2023-04-28 12:27:22",101,0
998462,1,"2023-04-28 12:27:22",209,0
998463,1,"2023-04-28 12:27:22",239,0
998464,1,"2023-04-28 12:27:22",146,0
998465,1,"2023-04-28 12:27:22",297,0
998466,1,"2023-04-28 12:27:22",294,0
998467,1,"2023-04-28 12:27:22",201,0
998588,1,"2023-04-28 12:28:07",237,0
998589,1,"2023-04-28 12:28:07",138,0
998590,1,"2023-04-28 12:28:07",184,0
998591,1,"2023-04-28 12:28:07",157,0
998592,1,"2023-04-28 12:28:07",276,0
998593,1,"2023-04-28 12:28:07",135,0
998594,1,"2023-04-28 12:28:07",257,0
998595,1,"2023-04-28 12:28:07",280,0
998597,1,"2023-04-28 12:28:07",251,0
998689,1,"2023-04-28 12:28:38",247,0
998691,1,"2023-04-28 12:28:38",228,0
998693,1,"2023-04-28 12:28:38",188,0
998694,1,"2023-04-28 12:28:38",205,0
998695,1,"2023-04-28 12:28:38",133,0
998696,1,"2023-04-28 12:28:38",251,0
998697,1,"2023-04-28 12:28:38",152,0
998699,1,"2023-04-28 12:28:38",312,0
998700,1,"2023-04-28 12:28:38",99,0
998701,1,"2023-04-28 12:28:38",189,0
998702,1,"2023-04-28 12:28:38",261,0
998703,1,"2023-04-28 12:28:38",291,0
998704,1,"2023-04-28 12:28:38",177,0
998706,1,"2023-04-28 12:28:38",195,0
998707,1,"2023-04-28 12:28:38",247,0
998768,1,"2023-04-28 12:28:57",227,0
998770,1,"2023-04-28 12:28:57",108,0
998771,1,"2023-04-28 12:28:57",147,0
998772,1,"2023-04-28 12:28:57",297,0
998773,1,"2023-04-28 12:28:57",140,0
998774,1,"2023-04-28 12:28:57",253,0
998775,1,"2023-04-28 12:28:57",115,0
998776,1,"2023-04-28 12:28:57",209,0
998777,1,"2023-04-28 12:28:57",117,0
998813,1,"2023-04-28 12:29:04",102,0
998818,1,"2023-04-28 12:29:04",183,0
998828,1,"2023-04-28 12:29:05",181,0
998830,1,"2023-04-28 12:29:05",269,0
998831,1,"2023-04-28 12:29:05",141,0
998918,1,"2023-04-28 12:29:34",299,0
998919,1,"2023-04-28 12:29:34",248,0
998921,1,"2023-04-28 12:29:34",169,0
998923,1,"2023-04-28 12:29:34",306,0
998924,1,"2023-04-28 12:29:34",223,0
998925,1,"2023-04-28 12:29:34",294,0
998927,1,"2023-04-28 12:29:34",301,0
998938,1,"2023-04-28 12:29:40",313,0
998939,1,"2023-04-28 12:29:40",177,0
998940,1,"2023-04-28 12:29:40",223,0
998941,1,"2023-04-28 12:29:40",138,0
998943,1,"2023-04-28 12:29:40",274,0
998944,1,"2023-04-28 12:29:40",251,0
998945,1,"2023-04-28 12:29:40",150,0
998946,1,"2023-04-28 12:29:40",280,0
998947,1,"2023-04-28 12:29:40",215,0
998948,1,"2023-04-28 12:29:43",198,0
998949,1,"2023-04-28 12:29:43",173,0
998950,1,"2023-04-28 12:29:43",192,0
998951,1,"2023-04-28 12:29:43",258,0
998952,1,"2023-04-28 12:29:43",106,0
998953,1,"2023-04-28 12:29:43",155,0
998954,1,"2023-04-28 12:29:43",201,0
998955,1,"2023-04-28 12:29:43",279,0
998956,1,"2023-04-28 12:29:43",109,0
998957,1,"2023-04-28 12:29:43",244,0
999008,1,"2023-04-28 12:30:14",99,0
999009,1,"2023-04-28 12:30:14",229,0
999010,1,"2023-04-28 12:30:14",168,0
999011,1,"2023-04-28 12:30:14",315,0
999012,1,"2023-04-28 12:30:14",254,0
999013,1,"2023-04-28 12:30:14",145,0
999014,1,"2023-04-28 12:30:14",247,0
999016,1,"2023-04-28 12:30:14",312,0
999017,1,"2023-04-28 12:30:14",278,0
999058,1,"2023-04-28 12:30:30",286,0
999059,1,"2023-04-28 12:30:30",209,0
999060,1,"2023-04-28 12:30:30",218,0
999061,1,"2023-04-28 12:30:30",186,0
999062,1,"2023-04-28 12:30:30",187,0
999063,1,"2023-04-28 12:30:30",156,0
999064,1,"2023-04-28 12:30:30",185,0
999065,1,"2023-04-28 12:30:30",188,0
999066,1,"2023-04-28 12:30:30",151,0
999067,1,"2023-04-28 12:30:30",195,0
999088,1,"2023-04-28 12:30:35",209,0
999089,1,"2023-04-28 12:30:35",254,0
999090,1,"2023-04-28 12:30:35",238,0
999091,1,"2023-04-28 12:30:35",145,0
999092,1,"2023-04-28 12:30:35",269,0
999093,1,"2023-04-28 12:30:35",253,0
999095,1,"2023-04-28 12:30:35",278,0
999096,1,"2023-04-28 12:30:35",292,0
999097,1,"2023-04-28 12:30:35",103,0
999129,1,"2023-04-28 12:30:52",142,0
999131,1,"2023-04-28 12:30:52",122,0
999132,1,"2023-04-28 12:30:52",233,0
999148,1,"2023-04-28 12:31:01",154,0
999149,1,"2023-04-28 12:31:01",207,0
999150,1,"2023-04-28 12:31:01",147,0
999151,1,"2023-04-28 12:31:01",162,0
999154,1,"2023-04-28 12:31:01",272,0
999156,1,"2023-04-28 12:31:01",118,0
999157,1,"2023-04-28 12:31:01",121,0
999199,1,"2023-04-28 12:31:09",142,0
999200,1,"2023-04-28 12:31:09",163,0
999201,1,"2023-04-28 12:31:09",203,0
999203,1,"2023-04-28 12:31:09",305,0
999204,1,"2023-04-28 12:31:09",258,0
999205,1,"2023-04-28 12:31:09",324,0
999206,1,"2023-04-28 12:31:09",177,0
999207,1,"2023-04-28 12:31:09",297,0
999208,1,"2023-04-28 12:31:10",298,0
999209,1,"2023-04-28 12:31:10",272,0
999213,1,"2023-04-28 12:31:10",266,0
999214,1,"2023-04-28 12:31:10",163,0
999215,1,"2023-04-28 12:31:10",129,0
999217,1,"2023-04-28 12:31:10",290,0
999258,1,"2023-04-28 12:31:19",293,0
999259,1,"2023-04-28 12:31:19",110,0
999260,1,"2023-04-28 12:31:19",210,0
999261,1,"2023-04-28 12:31:19",249,0
999262,1,"2023-04-28 12:31:19",117,0
999263,1,"2023-04-28 12:31:19",218,0
999264,1,"2023-04-28 12:31:19",324,0
999265,1,"2023-04-28 12:31:19",99,0
999266,1,"2023-04-28 12:31:19",208,0
999267,1,"2023-04-28 12:31:19",102,0
999278,1,"2023-04-28 12:31:24",246,0
999279,1,"2023-04-28 12:31:24",275,0
999280,1,"2023-04-28 12:31:24",265,0
999281,1,"2023-04-28 12:31:24",130,0
999282,1,"2023-04-28 12:31:24",196,0
999283,1,"2023-04-28 12:31:24",317,0
999284,1,"2023-04-28 12:31:24",231,0
999286,1,"2023-04-28 12:31:24",285,0
999329,1,"2023-04-28 12:31:33",199,0
999330,1,"2023-04-28 12:31:33",189,0
999331,1,"2023-04-28 12:31:33",134,0
999332,1,"2023-04-28 12:31:33",222,0
999333,1,"2023-04-28 12:31:33",128,0
999334,1,"2023-04-28 12:31:33",241,0
999336,1,"2023-04-28 12:31:33",188,0
999428,1,"2023-04-28 12:31:44",141,0
999429,1,"2023-04-28 12:31:44",192,0
999430,1,"2023-04-28 12:31:44",154,0
999431,1,"2023-04-28 12:31:44",143,0
999432,1,"2023-04-28 12:31:44",310,0
999433,1,"2023-04-28 12:31:44",307,0
999434,1,"2023-04-28 12:31:44",290,0
999435,1,"2023-04-28 12:31:44",322,0
999436,1,"2023-04-28 12:31:44",155,0
999437,1,"2023-04-28 12:31:44",304,0
999438,1,"2023-04-28 12:31:51",180,0
999439,1,"2023-04-28 12:31:51",253,0
999440,1,"2023-04-28 12:31:51",210,0
999441,1,"2023-04-28 12:31:51",196,0
999442,1,"2023-04-28 12:31:51",162,0
999443,1,"2023-04-28 12:31:51",250,0
999445,1,"2023-04-28 12:31:51",217,0
999446,1,"2023-04-28 12:31:51",133,0
999448,1,"2023-04-28 12:31:51",267,0
999449,1,"2023-04-28 12:31:51",314,0
999450,1,"2023-04-28 12:31:51",272,0
999452,1,"2023-04-28 12:31:51",256,0
999453,1,"2023-04-28 12:31:51",212,0
999454,1,"2023-04-28 12:31:51",154,0
999455,1,"2023-04-28 12:31:52",303,0
999457,1,"2023-04-28 12:31:52",263,0
999459,1,"2023-04-28 12:31:52",113,0
999462,1,"2023-04-28 12:31:52",226,0
999488,1,"2023-04-28 12:31:58",183,0
999489,1,"2023-04-28 12:31:58",170,0
999490,1,"2023-04-28 12:31:58",143,0
999491,1,"2023-04-28 12:31:58",314,0
999492,1,"2023-04-28 12:31:58",245,0
999493,1,"2023-04-28 12:31:58",303,0
999494,1,"2023-04-28 12:31:58",203,0
999495,1,"2023-04-28 12:31:58",179,0
999496,1,"2023-04-28 12:31:58",316,0
999497,1,"2023-04-28 12:31:58",153,0
999603,1,"2023-04-28 12:32:18",238,0
999605,1,"2023-04-28 12:32:18",211,0
999670,1,"2023-04-28 12:32:36",312,0
999671,1,"2023-04-28 12:32:36",150,0
999673,1,"2023-04-28 12:32:36",127,0
999675,1,"2023-04-28 12:32:36",257,0
999676,1,"2023-04-28 12:32:36",275,0
999677,1,"2023-04-28 12:32:36",201,0
999679,1,"2023-04-28 12:32:39",203,0
999680,1,"2023-04-28 12:32:39",290,0
999683,1,"2023-04-28 12:32:39",109,0
999684,1,"2023-04-28 12:32:39",117,0
999685,1,"2023-04-28 12:32:39",276,0
999698,1,"2023-04-28 12:32:46",164,0
999699,1,"2023-04-28 12:32:46",297,0
999700,1,"2023-04-28 12:32:46",147,0
999701,1,"2023-04-28 12:32:46",226,0
999702,1,"2023-04-28 12:32:46",176,0
999703,1,"2023-04-28 12:32:46",263,0
999704,1,"2023-04-28 12:32:46",288,0
999705,1,"2023-04-28 12:32:46",153,0
999706,1,"2023-04-28 12:32:46",230,0
999707,1,"2023-04-28 12:32:46",267,0
999848,1,"2023-04-28 12:33:09",157,0
999850,1,"2023-04-28 12:33:09",207,0
999851,1,"2023-04-28 12:33:09",302,0
999852,1,"2023-04-28 12:33:09",212,0
999853,1,"2023-04-28 12:33:09",320,0
999854,1,"2023-04-28 12:33:09",217,0
999855,1,"2023-04-28 12:33:09",318,0
999856,1,"2023-04-28 12:33:09",134,0
999857,1,"2023-04-28 12:33:09",124,0
1000018,1,"2023-04-28 12:33:34",303,0
1000019,1,"2023-04-28 12:33:34",201,0
1000021,1,"2023-04-28 12:33:34",309,0
1000022,1,"2023-04-28 12:33:34",184,0
1000023,1,"2023-04-28 12:33:34",246,0
1000024,1,"2023-04-28 12:33:34",177,0
1000025,1,"2023-04-28 12:33:34",244,0
1000026,1,"2023-04-28 12:33:34",248,0
1000027,1,"2023-04-28 12:33:34",127,0
1000028,1,"2023-04-28 12:33:35",212,0
1000029,1,"2023-04-28 12:33:35",224,0
1000030,1,"2023-04-28 12:33:35",142,0
1000031,1,"2023-04-28 12:33:35",262,0
1000032,1,"2023-04-28 12:33:35",184,0
1000033,1,"2023-04-28 12:33:35",301,0
1000034,1,"2023-04-28 12:33:36",209,0
1000035,1,"2023-04-28 12:33:36",265,0
1000036,1,"2023-04-28 12:33:36",232,0
1000037,1,"2023-04-28 12:33:36",127,0
1000058,1,"2023-04-28 12:33:37",124,0
1000059,1,"2023-04-28 12:33:37",234,0
1000060,1,"2023-04-28 12:33:37",203,0
1000061,1,"2023-04-28 12:33:37",247,0
1000062,1,"2023-04-28 12:33:37",152,0
1000063,1,"2023-04-28 12:33:37",224,0
1000064,1,"2023-04-28 12:33:37",280,0
1000065,1,"2023-04-28 12:33:37",102,0
1000066,1,"2023-04-28 12:33:37",115,0
1000067,1,"2023-04-28 12:33:37",283,0
1000072,1,"2023-04-28 12:33:38",181,0
1000073,1,"2023-04-28 12:33:38",171,0
1000118,1,"2023-04-28 12:33:42",275,0
1000119,1,"2023-04-28 12:33:42",164,0
1000120,1,"2023-04-28 12:33:42",236,0
1000122,1,"2023-04-28 12:33:42",260,0
1000124,1,"2023-04-28 12:33:42",299,0
1000125,1,"2023-04-28 12:33:42",242,0
1000126,1,"2023-04-28 12:33:42",145,0
1000127,1,"2023-04-28 12:33:42",170,0
1000159,1,"2023-04-28 12:33:51",130,0
1000160,1,"2023-04-28 12:33:51",218,0
1000161,1,"2023-04-28 12:33:51",288,0
1000165,1,"2023-04-28 12:33:51",224,0
1000166,1,"2023-04-28 12:33:51",160,0
1000278,1,"2023-04-28 12:34:15",263,0
1000279,1,"2023-04-28 12:34:15",150,0
1000280,1,"2023-04-28 12:34:15",319,0
1000281,1,"2023-04-28 12:34:15",145,0
1000282,1,"2023-04-28 12:34:15",160,0
1000283,1,"2023-04-28 12:34:15",141,0
1000284,1,"2023-04-28 12:34:15",157,0
1000285,1,"2023-04-28 12:34:15",185,0
1000286,1,"2023-04-28 12:34:15",301,0
1000287,1,"2023-04-28 12:34:15",188,0
1000589,1,"2023-04-28 12:34:45",283,0
1000590,1,"2023-04-28 12:34:45",259,0
1000591,1,"2023-04-28 12:34:45",136,0
1000592,1,"2023-04-28 12:34:45",105,0
1000594,1,"2023-04-28 12:34:45",172,0
1000595,1,"2023-04-28 12:34:45",143,0
1000596,1,"2023-04-28 12:34:45",310,0
1000597,1,"2023-04-28 12:34:45",184,0
1000671,1,"2023-04-28 12:34:50",153,0
1000828,1,"2023-04-28 12:35:14",310,0
1000829,1,"2023-04-28 12:35:14",319,0
1000830,1,"2023-04-28 12:35:14",290,0
1000831,1,"2023-04-28 12:35:14",260,0
1000832,1,"2023-04-28 12:35:14",108,0
1000833,1,"2023-04-28 12:35:14",155,0
1000834,1,"2023-04-28 12:35:14",291,0
1000835,1,"2023-04-28 12:35:14",182,0
1000836,1,"2023-04-28 12:35:14",287,0
1000839,1,"2023-04-28 12:35:14",230,0
1000868,1,"2023-04-28 12:35:15",318,0
1000869,1,"2023-04-28 12:35:15",189,0
1000870,1,"2023-04-28 12:35:15",137,0
1000871,1,"2023-04-28 12:35:15",181,0
1000872,1,"2023-04-28 12:35:15",168,0
1000873,1,"2023-04-28 12:35:15",182,0
1000874,1,"2023-04-28 12:35:15",147,0
1000875,1,"2023-04-28 12:35:15",244,0
1000876,1,"2023-04-28 12:35:15",183,0
1000877,1,"2023-04-28 12:35:15",324,0
1000920,1,"2023-04-28 12:35:19",256,0
1000921,1,"2023-04-28 12:35:19",171,0
1000922,1,"2023-04-28 12:35:19",198,0
1000923,1,"2023-04-28 12:35:19",293,0
1000924,1,"2023-04-28 12:35:19",115,0
1000926,1,"2023-04-28 12:35:19",223,0
1000927,1,"2023-04-28 12:35:19",161,0
1000978,1,"2023-04-28 12:35:24",279,0
1000979,1,"2023-04-28 12:35:24",267,0
1000980,1,"2023-04-28 12:35:24",145,0
1000981,1,"2023-04-28 12:35:24",256,0
1000982,1,"2023-04-28 12:35:24",217,0
1000983,1,"2023-04-28 12:35:24",178,0
1000984,1,"2023-04-28 12:35:24",244,0
1000985,1,"2023-04-28 12:35:24",260,0
1000986,1,"2023-04-28 12:35:24",208,0
1000987,1,"2023-04-28 12:35:24",316,0
1001048,1,"2023-04-28 12:35:34",296,0
1001049,1,"2023-04-28 12:35:34",214,0
1001053,1,"2023-04-28 12:35:34",191,0
1001054,1,"2023-04-28 12:35:34",157,0
1001055,1,"2023-04-28 12:35:34",271,0
1001057,1,"2023-04-28 12:35:34",325,0
1001139,1,"2023-04-28 12:35:45",132,0
1001141,1,"2023-04-28 12:35:45",106,0
1001142,1,"2023-04-28 12:35:45",246,0
1001143,1,"2023-04-28 12:35:45",258,0
1001144,1,"2023-04-28 12:35:45",161,0
1001145,1,"2023-04-28 12:35:45",267,0
1001146,1,"2023-04-28 12:35:45",296,0
1001147,1,"2023-04-28 12:35:45",150,0
1001298,1,"2023-04-28 12:36:03",277,0
1001299,1,"2023-04-28 12:36:03",237,0
1001300,1,"2023-04-28 12:36:03",272,0
1001301,1,"2023-04-28 12:36:03",179,0
1001302,1,"2023-04-28 12:36:03",301,0
1001303,1,"2023-04-28 12:36:03",212,0
1001304,1,"2023-04-28 12:36:03",104,0
1001305,1,"2023-04-28 12:36:03",300,0
1001306,1,"2023-04-28 12:36:03",307,0
1001307,1,"2023-04-28 12:36:03",197,0
1001608,1,"2023-04-28 12:36:53",219,0
1001609,1,"2023-04-28 12:36:53",227,0
1001610,1,"2023-04-28 12:36:53",300,0
1001611,1,"2023-04-28 12:36:53",104,0
1001612,1,"2023-04-28 12:36:53",162,0
1001613,1,"2023-04-28 12:36:53",200,0
1001614,1,"2023-04-28 12:36:53",159,0
1001615,1,"2023-04-28 12:36:53",134,0
1001616,1,"2023-04-28 12:36:53",210,0
1001617,1,"2023-04-28 12:36:53",252,0
1001728,1,"2023-04-28 12:37:10",186,0
1001729,1,"2023-04-28 12:37:10",315,0
1001731,1,"2023-04-28 12:37:10",178,0
1001732,1,"2023-04-28 12:37:10",295,0
1001733,1,"2023-04-28 12:37:10",261,0
1001736,1,"2023-04-28 12:37:10",123,0
1001737,1,"2023-04-28 12:37:10",151,0
1001788,1,"2023-04-28 12:37:24",203,0
1001789,1,"2023-04-28 12:37:24",291,0
1001790,1,"2023-04-28 12:37:24",146,0
1001792,1,"2023-04-28 12:37:24",270,0
1001793,1,"2023-04-28 12:37:24",140,0
1001794,1,"2023-04-28 12:37:24",298,0
1001795,1,"2023-04-28 12:37:24",286,0
1001796,1,"2023-04-28 12:37:24",136,0
1001797,1,"2023-04-28 12:37:24",294,0
1002129,1,"2023-04-28 12:38:36",182,0
1002132,1,"2023-04-28 12:38:36",113,0
1002136,1,"2023-04-28 12:38:36",234,0
1002137,1,"2023-04-28 12:38:36",311,0
1002498,1,"2023-04-28 12:39:59",269,0
1002499,1,"2023-04-28 12:39:59",236,0
1002500,1,"2023-04-28 12:39:59",317,0
1002502,1,"2023-04-28 12:39:59",296,0
1002503,1,"2023-04-28 12:39:59",152,0
1002504,1,"2023-04-28 12:39:59",320,0
1002505,1,"2023-04-28 12:39:59",118,0
1002506,1,"2023-04-28 12:39:59",291,0
1002507,1,"2023-04-28 12:39:59",243,0
1002629,1,"2023-04-28 12:40:33",313,0
1002633,1,"2023-04-28 12:40:33",269,0
1002634,1,"2023-04-28 12:40:33",178,0
1002635,1,"2023-04-28 12:40:33",306,0
1002998,1,"2023-04-28 12:41:46",305,0
1002999,1,"2023-04-28 12:41:46",167,0
1003000,1,"2023-04-28 12:41:46",129,0
1003001,1,"2023-04-28 12:41:46",170,0
1003002,1,"2023-04-28 12:41:46",172,0
1003003,1,"2023-04-28 12:41:46",115,0
1003004,1,"2023-04-28 12:41:46",259,0
1003005,1,"2023-04-28 12:41:46",123,0
1003006,1,"2023-04-28 12:41:46",226,0
1003007,1,"2023-04-28 12:41:46",154,0
1003298,1,"2023-04-28 12:42:46",187,0
1003299,1,"2023-04-28 12:42:46",182,0
1003303,1,"2023-04-28 12:42:47",108,0
1003348,1,"2023-04-28 12:42:55",213,0
1003349,1,"2023-04-28 12:42:55",232,0
1003351,1,"2023-04-28 12:42:55",169,0
1003352,1,"2023-04-28 12:42:55",148,0
1003354,1,"2023-04-28 12:42:55",241,0
1003355,1,"2023-04-28 12:42:55",136,0
1003356,1,"2023-04-28 12:42:55",155,0
1003488,1,"2023-04-28 12:43:35",108,0
1003489,1,"2023-04-28 12:43:35",272,0
1003491,1,"2023-04-28 12:43:35",274,0
1003493,1,"2023-04-28 12:43:35",165,0
1003494,1,"2023-04-28 12:43:35",192,0
1003497,1,"2023-04-28 12:43:35",306,0
1003588,1,"2023-04-28 12:44:06",287,0
1003589,1,"2023-04-28 12:44:06",194,0
1003590,1,"2023-04-28 12:44:06",228,0
1003591,1,"2023-04-28 12:44:06",292,0
1003592,1,"2023-04-28 12:44:06",218,0
1003594,1,"2023-04-28 12:44:06",243,0
1003595,1,"2023-04-28 12:44:06",131,0
1003596,1,"2023-04-28 12:44:06",235,0
1003597,1,"2023-04-28 12:44:06",265,0
1003728,1,"2023-04-28 12:44:43",305,0
1003730,1,"2023-04-28 12:44:43",164,0
1003731,1,"2023-04-28 12:44:43",295,0
1003732,1,"2023-04-28 12:44:43",211,0
1003733,1,"2023-04-28 12:44:43",217,0
1003734,1,"2023-04-28 12:44:43",158,0
1003737,1,"2023-04-28 12:44:43",167,0
1003849,1,"2023-04-28 12:45:21",217,0
1003850,1,"2023-04-28 12:45:21",171,0
1003851,1,"2023-04-28 12:45:21",244,0
1003853,1,"2023-04-28 12:45:21",288,0
1003854,1,"2023-04-28 12:45:21",110,0
1003855,1,"2023-04-28 12:45:21",324,0
1003856,1,"2023-04-28 12:45:21",309,0
1003857,1,"2023-04-28 12:45:21",195,0
1004038,1,"2023-04-28 12:46:43",310,0
1004039,1,"2023-04-28 12:46:43",200,0
1004040,1,"2023-04-28 12:46:43",221,0
1004041,1,"2023-04-28 12:46:43",201,0
1004042,1,"2023-04-28 12:46:44",134,0
1004043,1,"2023-04-28 12:46:44",244,0
1004045,1,"2023-04-28 12:46:44",135,0
1004047,1,"2023-04-28 12:46:44",202,0
1004398,1,"2023-04-28 12:48:20",177,0
1004399,1,"2023-04-28 12:48:20",293,0
1004400,1,"2023-04-28 12:48:20",311,0
1004401,1,"2023-04-28 12:48:20",269,0
1004403,1,"2023-04-28 12:48:20",102,0
1004404,1,"2023-04-28 12:48:20",111,0
1004405,1,"2023-04-28 12:48:20",199,0
1004406,1,"2023-04-28 12:48:20",273,0
1004407,1,"2023-04-28 12:48:20",209,0
1004410,1,"2023-04-28 12:48:20",324,0
1004549,1,"2023-04-28 12:48:57",262,0
1004550,1,"2023-04-28 12:48:57",171,0
1004552,1,"2023-04-28 12:48:57",236,0
1004553,1,"2023-04-28 12:48:57",309,0
1004554,1,"2023-04-28 12:48:57",100,0
1004555,1,"2023-04-28 12:48:57",247,0
1004557,1,"2023-04-28 12:48:58",312,0
1004630,1,"2023-04-28 12:49:15",108,0
1004631,1,"2023-04-28 12:49:15",224,0
1004632,1,"2023-04-28 12:49:15",117,0
1004633,1,"2023-04-28 12:49:15",138,0
1004634,1,"2023-04-28 12:49:15",270,0
1004635,1,"2023-04-28 12:49:15",286,0
1004636,1,"2023-04-28 12:49:15",322,0
1004637,1,"2023-04-28 12:49:15",112,0
1004727,1,"2023-04-28 12:49:40",317,0
1004729,1,"2023-04-28 12:49:40",223,0
1004730,1,"2023-04-28 12:49:40",307,0
1004732,1,"2023-04-28 12:49:40",167,0
1004733,1,"2023-04-28 12:49:40",298,0
1004735,1,"2023-04-28 12:49:40",296,0
1004737,1,"2023-04-28 12:49:40",128,0
1004878,1,"2023-04-28 12:50:24",258,0
1004879,1,"2023-04-28 12:50:24",202,0
1004881,1,"2023-04-28 12:50:24",177,0
1004883,1,"2023-04-28 12:50:24",281,0
1004884,1,"2023-04-28 12:50:24",227,0
1004885,1,"2023-04-28 12:50:24",310,0
1004887,1,"2023-04-28 12:50:24",246,0
1004968,1,"2023-04-28 12:51:05",168,0
1004970,1,"2023-04-28 12:51:05",175,0
1004971,1,"2023-04-28 12:51:05",235,0
1004972,1,"2023-04-28 12:51:05",213,0
1004973,1,"2023-04-28 12:51:05",270,0
1004975,1,"2023-04-28 12:51:05",253,0
1004976,1,"2023-04-28 12:51:05",273,0
1005248,1,"2023-04-28 12:52:21",217,0
1005249,1,"2023-04-28 12:52:21",286,0
1005250,1,"2023-04-28 12:52:21",144,0
1005251,1,"2023-04-28 12:52:21",159,0
1005252,1,"2023-04-28 12:52:21",142,0
1005253,1,"2023-04-28 12:52:21",128,0
1005254,1,"2023-04-28 12:52:21",178,0
1005255,1,"2023-04-28 12:52:21",244,0
1005256,1,"2023-04-28 12:52:21",124,0
1005257,1,"2023-04-28 12:52:21",167,0
