id,reason,created_at,question_id,user_id
1,"이 질문은 재미없어요","2023-04-19 06:20:35",250,837556
2,"이 질문은 재미없어요","2023-04-19 06:58:09",113,837672
3,"불쾌한 내용이 포함되어 있음","2023-04-19 06:58:17",113,837672
4,"어떻게 이런 생각을? 이 질문 최고!","2023-04-19 08:12:42",119,837922
5,"어떻게 이런 생각을? 이 질문 최고!","2023-04-19 08:12:50",119,837922
6,"어떻게 이런 생각을? 이 질문 최고!","2023-04-19 08:12:54",119,837922
7,"어떻게 이런 생각을? 이 질문 최고!","2023-04-19 09:00:35",283,837737
8,"어떻게 이런 생각을? 이 질문 최고!","2023-04-19 09:35:34",194,837697
9,기타,"2023-04-19 10:36:41",112,838119
10,기타,"2023-04-19 12:37:02",218,837565
11,"이 질문은 재미없어요","2023-04-19 12:54:31",130,837597
12,기타,"2023-04-19 13:05:34",110,838033
13,기타,"2023-04-19 13:05:39",110,838033
14,"선정적이거나 자극적인 질문","2023-04-19 13:29:13",178,837954
15,기타,"2023-04-19 13:35:49",158,838301
16,"어떻게 이런 생각을? 이 질문 최고!","2023-04-19 13:40:23",158,838301
17,"어떻게 이런 생각을? 이 질문 최고!","2023-04-19 13:49:31",262,838041
18,"이 질문은 재미없어요","2023-04-19 14:03:47",249,837598
19,"어떻게 이런 생각을? 이 질문 최고!","2023-04-19 15:01:15",209,838343
20,"어떻게 이런 생각을? 이 질문 최고!","2023-04-19 15:04:41",101,837950
21,"어떻게 이런 생각을? 이 질문 최고!","2023-04-19 15:09:19",101,837950
22,"어떻게 이런 생각을? 이 질문 최고!","2023-04-19 16:12:56",159,837922
23,"어떻게 이런 생각을? 이 질문 최고!","2023-04-19 16:13:09",159,837922
24,"어떻게 이런 생각을? 이 질문 최고!","2023-04-19 17:02:13",271,838541
25,"어떻게 이런 생각을? 이 질문 최고!","2023-04-19 17:12:17",132,837744
26,"이 질문은 재미없어요","2023-04-19 22:41:11",270,837598
27,"어떻게 이런 생각을? 이 질문 최고!","2023-04-19 23:25:21",228,838528
28,"불쾌한 내용이 포함되어 있음","2023-04-20 00:48:54",111,838342
29,기타,"2023-04-20 02:29:10",302,838514
30,"어떻게 이런 생각을? 이 질문 최고!","2023-04-20 03:48:41",275,837603
31,"어떻게 이런 생각을? 이 질문 최고!","2023-04-20 04:28:45",234,838780
32,기타,"2023-04-20 05:16:08",207,838630
33,"어떻게 이런 생각을? 이 질문 최고!","2023-04-20 05:26:41",177,838496
34,"어떻게 이런 생각을? 이 질문 최고!","2023-04-20 06:27:26",276,838793
35,기타,"2023-04-20 06:37:24",309,837682
36,"이 질문은 재미없어요","2023-04-20 07:41:43",122,838612
37,"어떻게 이런 생각을? 이 질문 최고!","2023-04-20 07:41:45",122,838612
38,기타,"2023-04-20 09:06:05",259,837672
39,"어떻게 이런 생각을? 이 질문 최고!","2023-04-20 09:06:50",245,838516
40,"이 질문은 재미없어요","2023-04-20 09:16:22",111,837797
42,"어떻게 이런 생각을? 이 질문 최고!","2023-04-20 09:39:12",163,837703
43,"불쾌한 내용이 포함되어 있음","2023-04-20 10:47:43",111,838743
44,"어떻게 이런 생각을? 이 질문 최고!","2023-04-20 11:45:39",319,838470
45,"어떻게 이런 생각을? 이 질문 최고!","2023-04-20 12:00:45",197,838496
46,"어떻게 이런 생각을? 이 질문 최고!","2023-04-20 12:00:49",235,838496
47,"어떻게 이런 생각을? 이 질문 최고!","2023-04-20 12:31:11",163,838168
48,기타,"2023-04-20 12:41:11",135,837757
49,"어떻게 이런 생각을? 이 질문 최고!","2023-04-20 12:56:16",314,838290
50,"어떻게 이런 생각을? 이 질문 최고!","2023-04-20 13:29:12",103,837615
51,"불쾌한 내용이 포함되어 있음","2023-04-20 13:31:26",116,837925
52,"어떻게 이런 생각을? 이 질문 최고!","2023-04-20 13:36:26",120,839000
53,"어떻게 이런 생각을? 이 질문 최고!","2023-04-20 13:36:30",317,839000
54,"어떻게 이런 생각을? 이 질문 최고!","2023-04-20 13:36:31",317,839000
55,"이 질문은 재미없어요","2023-04-20 13:39:23",256,838853
56,"어떻게 이런 생각을? 이 질문 최고!","2023-04-20 13:44:08",126,837694
57,"어떻게 이런 생각을? 이 질문 최고!","2023-04-20 13:44:14",141,837694
58,"어떻게 이런 생각을? 이 질문 최고!","2023-04-20 13:44:37",190,837694
59,"오타가 있음","2023-04-20 14:05:00",154,837764
60,"어떻게 이런 생각을? 이 질문 최고!","2023-04-20 14:07:04",237,837640
61,"어떻게 이런 생각을? 이 질문 최고!","2023-04-20 14:24:39",290,839152
62,"어떻게 이런 생각을? 이 질문 최고!","2023-04-20 14:25:10",290,839152
63,"어떻게 이런 생각을? 이 질문 최고!","2023-04-20 14:45:43",197,839016
64,"어떻게 이런 생각을? 이 질문 최고!","2023-04-20 15:13:18",129,838213
65,"어떻게 이런 생각을? 이 질문 최고!","2023-04-20 15:13:24",129,838213
66,기타,"2023-04-20 15:13:28",129,838213
67,"어떻게 이런 생각을? 이 질문 최고!","2023-04-20 15:27:14",197,839369
68,기타,"2023-04-20 15:31:58",281,838959
69,"불쾌한 내용이 포함되어 있음","2023-04-20 16:23:14",211,838178
70,"어떻게 이런 생각을? 이 질문 최고!","2023-04-20 16:27:50",311,839358
71,기타,"2023-04-20 16:41:14",319,838470
72,기타,"2023-04-20 16:43:52",147,839319
73,"어떻게 이런 생각을? 이 질문 최고!","2023-04-20 16:44:37",197,839319
74,"어떻게 이런 생각을? 이 질문 최고!","2023-04-20 17:18:46",181,839393
75,"오타가 있음","2023-04-20 22:09:46",295,837764
76,"어떻게 이런 생각을? 이 질문 최고!","2023-04-20 22:28:45",137,839369
77,"어떻게 이런 생각을? 이 질문 최고!","2023-04-20 22:29:53",107,839369
78,"어떻게 이런 생각을? 이 질문 최고!","2023-04-20 22:40:46",107,839369
80,"어떻게 이런 생각을? 이 질문 최고!","2023-04-20 23:35:32",266,839624
81,"불쾌한 내용이 포함되어 있음","2023-04-21 00:14:54",111,839245
82,기타,"2023-04-21 00:14:58",111,839245
83,"불쾌한 내용이 포함되어 있음","2023-04-21 00:16:18",274,839152
84,"어떻게 이런 생각을? 이 질문 최고!","2023-04-21 00:24:51",145,839369
85,"어떻게 이런 생각을? 이 질문 최고!","2023-04-21 00:24:55",226,839369
86,"어떻게 이런 생각을? 이 질문 최고!","2023-04-21 00:24:59",115,839369
87,기타,"2023-04-21 01:45:12",275,839393
88,"어떻게 이런 생각을? 이 질문 최고!","2023-04-21 02:02:00",181,838304
89,"오타가 있음","2023-04-21 02:33:27",243,837764
90,"어떻게 이런 생각을? 이 질문 최고!","2023-04-21 02:33:31",148,837764
91,"오타가 있음","2023-04-21 02:33:34",148,837764
92,"오타가 있음","2023-04-21 02:33:38",273,837764
93,"어떻게 이런 생각을? 이 질문 최고!","2023-04-21 02:45:15",101,839253
95,기타,"2023-04-21 03:16:20",174,839246
96,기타,"2023-04-21 03:18:48",141,839356
97,"어떻게 이런 생각을? 이 질문 최고!","2023-04-21 03:21:56",188,839451
98,"어떻게 이런 생각을? 이 질문 최고!","2023-04-21 05:09:20",156,838803
99,기타,"2023-04-21 05:58:23",154,839056
100,"어떻게 이런 생각을? 이 질문 최고!","2023-04-21 06:29:59",140,838932
101,"오타가 있음","2023-04-21 06:40:06",259,837764
102,"오타가 있음","2023-04-21 06:41:27",301,838803
104,"이 질문은 재미없어요","2023-04-21 08:00:38",225,839600
105,기타,"2023-04-21 08:06:12",290,839668
106,"어떻게 이런 생각을? 이 질문 최고!","2023-04-21 08:20:37",146,838939
107,"이 질문은 재미없어요","2023-04-21 09:04:32",227,839056
108,"이 질문은 재미없어요","2023-04-21 09:06:16",271,839056
109,"이 질문은 재미없어요","2023-04-21 09:06:32",227,839056
110,"이 질문은 재미없어요","2023-04-21 09:07:09",206,839056
111,"이 질문은 재미없어요","2023-04-21 09:10:47",246,839056
112,"이 질문은 재미없어요","2023-04-21 09:11:03",256,839056
113,"어떻게 이런 생각을? 이 질문 최고!","2023-04-21 09:45:47",265,837654
114,"이 질문은 재미없어요","2023-04-21 10:06:00",108,838995
115,"어떻게 이런 생각을? 이 질문 최고!","2023-04-21 10:15:32",265,838120
116,"이 질문은 재미없어요","2023-04-21 10:17:26",271,839056
117,기타,"2023-04-21 11:16:53",108,839276
118,"이 질문은 재미없어요","2023-04-21 11:34:41",296,839600
119,기타,"2023-04-21 12:05:34",225,839732
120,"어떻게 이런 생각을? 이 질문 최고!","2023-04-21 12:06:32",239,839369
121,"어떻게 이런 생각을? 이 질문 최고!","2023-04-21 12:29:49",162,839287
122,"어떻게 이런 생각을? 이 질문 최고!","2023-04-21 12:35:41",105,839319
123,"어떻게 이런 생각을? 이 질문 최고!","2023-04-21 12:38:19",166,839870
124,기타,"2023-04-21 13:05:08",107,839369
125,"어떻게 이런 생각을? 이 질문 최고!","2023-04-21 13:05:13",107,839369
128,"이 질문은 재미없어요","2023-04-21 13:21:19",254,839807
129,기타,"2023-04-21 13:34:25",143,839867
130,"어떻게 이런 생각을? 이 질문 최고!","2023-04-21 13:56:30",187,839640
131,기타,"2023-04-21 14:07:46",278,839378
132,"오타가 있음","2023-04-21 14:08:09",132,839251
133,"어떻게 이런 생각을? 이 질문 최고!","2023-04-21 14:08:19",132,839251
134,"오타가 있음","2023-04-21 14:15:48",121,837764
135,"오타가 있음","2023-04-21 14:16:48",209,837764
136,"오타가 있음","2023-04-21 14:17:33",193,837764
137,기타,"2023-04-21 15:15:23",189,840523
139,기타,"2023-04-21 15:18:59",199,838538
140,"어떻게 이런 생각을? 이 질문 최고!","2023-04-21 15:20:39",115,839099
141,"이 질문은 재미없어요","2023-04-21 15:26:13",142,838961
142,"이 질문은 재미없어요","2023-04-21 15:26:45",191,838961
143,"어떻게 이런 생각을? 이 질문 최고!","2023-04-21 15:50:24",268,838596
144,"어떻게 이런 생각을? 이 질문 최고!","2023-04-21 15:51:54",148,839916
145,"어떻게 이런 생각을? 이 질문 최고!","2023-04-21 15:56:22",129,840511
146,"이 질문은 재미없어요","2023-04-21 16:38:32",191,839600
147,"이 질문은 재미없어요","2023-04-21 16:39:11",147,839600
148,"이 질문은 재미없어요","2023-04-21 16:39:41",278,839600
149,"이 질문은 재미없어요","2023-04-21 16:41:36",118,839600
150,"이 질문은 재미없어요","2023-04-21 16:44:01",178,839600
151,"이 질문은 재미없어요","2023-04-21 16:44:22",256,839600
152,"어떻게 이런 생각을? 이 질문 최고!","2023-04-21 16:53:22",221,840696
153,"어떻게 이런 생각을? 이 질문 최고!","2023-04-21 16:53:31",319,840696
154,"이 질문은 재미없어요","2023-04-21 16:57:14",220,839106
155,"어떻게 이런 생각을? 이 질문 최고!","2023-04-21 16:57:18",220,839106
156,"어떻게 이런 생각을? 이 질문 최고!","2023-04-21 16:57:19",220,839106
157,"어떻게 이런 생각을? 이 질문 최고!","2023-04-21 16:57:21",220,839106
158,"어떻게 이런 생각을? 이 질문 최고!","2023-04-21 17:09:20",217,840426
159,"어떻게 이런 생각을? 이 질문 최고!","2023-04-21 17:10:52",239,839330
160,"어떻게 이런 생각을? 이 질문 최고!","2023-04-21 17:43:19",251,840119
161,기타,"2023-04-21 17:54:20",251,840119
162,"어떻게 이런 생각을? 이 질문 최고!","2023-04-22 00:12:30",196,840515
163,"어떻게 이런 생각을? 이 질문 최고!","2023-04-22 00:54:38",307,840790
164,"어떻게 이런 생각을? 이 질문 최고!","2023-04-22 01:20:35",245,840557
165,기타,"2023-04-22 01:40:33",228,840357
166,"어떻게 이런 생각을? 이 질문 최고!","2023-04-22 01:40:36",228,840357
168,기타,"2023-04-22 01:57:52",161,838305
169,"어떻게 이런 생각을? 이 질문 최고!","2023-04-22 02:28:17",215,838130
170,"오타가 있음","2023-04-22 02:54:42",279,837764
171,기타,"2023-04-22 03:00:35",237,839217
172,"불쾌한 내용이 포함되어 있음","2023-04-22 03:46:08",111,838146
173,"이 질문은 재미없어요","2023-04-22 03:46:11",111,838146
174,"어떻게 이런 생각을? 이 질문 최고!","2023-04-22 03:59:07",233,838121
175,"어떻게 이런 생각을? 이 질문 최고!","2023-04-22 04:08:09",309,839993
177,"어떻게 이런 생각을? 이 질문 최고!","2023-04-22 04:39:42",109,840731
178,"어떻게 이런 생각을? 이 질문 최고!","2023-04-22 04:41:38",126,839369
179,"이 질문은 재미없어요","2023-04-22 04:44:45",144,839056
180,"어떻게 이런 생각을? 이 질문 최고!","2023-04-22 05:05:40",313,839248
181,기타,"2023-04-22 05:13:40",268,839640
182,"이 질문은 재미없어요","2023-04-22 05:15:11",306,839600
183,"어떻게 이런 생각을? 이 질문 최고!","2023-04-22 05:35:25",262,838582
184,기타,"2023-04-22 05:36:07",187,839386
185,"어떻게 이런 생각을? 이 질문 최고!","2023-04-22 05:58:58",175,840928
186,"어떻게 이런 생각을? 이 질문 최고!","2023-04-22 06:01:20",125,840181
187,"어떻게 이런 생각을? 이 질문 최고!","2023-04-22 06:36:02",153,839640
188,"어떻게 이런 생각을? 이 질문 최고!","2023-04-22 06:36:05",153,839640
189,"어떻게 이런 생각을? 이 질문 최고!","2023-04-22 07:10:42",192,839858
190,"이 질문은 재미없어요","2023-04-22 07:13:53",144,841200
191,"이 질문은 재미없어요","2023-04-22 07:24:23",144,839056
192,"어떻게 이런 생각을? 이 질문 최고!","2023-04-22 07:26:18",304,840517
193,"어떻게 이런 생각을? 이 질문 최고!","2023-04-22 07:30:56",235,841181
194,"어떻게 이런 생각을? 이 질문 최고!","2023-04-22 07:31:52",248,837756
195,"어떻게 이런 생각을? 이 질문 최고!","2023-04-22 07:32:00",248,837756
196,기타,"2023-04-22 07:38:34",162,838582
197,"어떻게 이런 생각을? 이 질문 최고!","2023-04-22 07:47:16",221,839642
198,"어떻게 이런 생각을? 이 질문 최고!","2023-04-22 08:10:38",280,841146
199,"이 질문은 재미없어요","2023-04-22 08:44:47",152,841081
200,"어떻게 이런 생각을? 이 질문 최고!","2023-04-22 09:04:39",186,840330
201,"어떻게 이런 생각을? 이 질문 최고!","2023-04-22 09:14:23",323,839999
202,"오타가 있음","2023-04-22 09:16:09",214,840842
203,"어떻게 이런 생각을? 이 질문 최고!","2023-04-22 09:36:23",212,839644
204,"어떻게 이런 생각을? 이 질문 최고!","2023-04-22 10:19:51",296,841174
205,기타,"2023-04-22 10:37:17",141,840515
206,"어떻게 이런 생각을? 이 질문 최고!","2023-04-22 10:50:24",168,838582
207,기타,"2023-04-22 11:05:08",124,840657
208,기타,"2023-04-22 11:08:10",221,840657
209,"어떻게 이런 생각을? 이 질문 최고!","2023-04-22 11:08:20",293,841081
213,"어떻게 이런 생각을? 이 질문 최고!","2023-04-22 11:31:08",158,839369
214,"이 질문은 재미없어요","2023-04-22 11:55:13",300,840511
215,"어떻게 이런 생각을? 이 질문 최고!","2023-04-22 11:55:59",135,840096
216,"이 질문은 재미없어요","2023-04-22 11:58:38",109,840421
217,"이 질문은 재미없어요","2023-04-22 12:14:51",296,839456
219,"어떻게 이런 생각을? 이 질문 최고!","2023-04-22 12:28:08",107,840696
220,"어떻게 이런 생각을? 이 질문 최고!","2023-04-22 12:46:32",206,841448
221,"어떻게 이런 생각을? 이 질문 최고!","2023-04-22 13:08:33",174,839491
222,"어떻게 이런 생각을? 이 질문 최고!","2023-04-22 13:13:49",257,840260
223,"이 질문은 재미없어요","2023-04-22 13:29:18",302,841400
224,"어떻게 이런 생각을? 이 질문 최고!","2023-04-22 13:29:56",203,838638
225,"이 질문은 재미없어요","2023-04-22 14:07:55",108,839369
226,"이 질문은 재미없어요","2023-04-22 14:10:11",299,841310
227,기타,"2023-04-22 14:15:30",127,839539
228,"이 질문은 재미없어요","2023-04-22 14:43:36",302,839600
229,"이 질문은 재미없어요","2023-04-22 14:44:19",184,839600
230,"이 질문은 재미없어요","2023-04-22 14:46:58",118,839600
232,"어떻게 이런 생각을? 이 질문 최고!","2023-04-22 15:10:51",103,839137
233,"어떻게 이런 생각을? 이 질문 최고!","2023-04-22 15:16:37",214,841773
234,기타,"2023-04-22 15:30:04",172,838369
235,기타,"2023-04-22 15:30:08",172,838369
236,"어떻게 이런 생각을? 이 질문 최고!","2023-04-22 15:35:53",279,840623
237,"오타가 있음","2023-04-22 15:43:02",156,837764
238,"어떻게 이런 생각을? 이 질문 최고!","2023-04-22 16:03:05",162,842007
239,"어떻게 이런 생각을? 이 질문 최고!","2023-04-22 16:21:18",199,839060
240,"이 질문은 재미없어요","2023-04-22 16:21:26",199,839060
241,"어떻게 이런 생각을? 이 질문 최고!","2023-04-22 16:21:33",199,839060
242,"어떻게 이런 생각을? 이 질문 최고!","2023-04-22 16:26:00",299,839480
243,"이 질문은 재미없어요","2023-04-22 16:29:11",202,839056
244,"이 질문은 재미없어요","2023-04-22 16:30:14",194,839056
245,"이 질문은 재미없어요","2023-04-22 16:30:54",144,839056
246,"이 질문은 재미없어요","2023-04-22 16:31:26",310,839056
247,"어떻게 이런 생각을? 이 질문 최고!","2023-04-22 16:31:30",323,841425
248,기타,"2023-04-22 16:31:39",323,841425
249,"이 질문은 재미없어요","2023-04-22 16:31:43",202,839056
250,"어떻게 이런 생각을? 이 질문 최고!","2023-04-22 16:35:12",282,842024
251,"어떻게 이런 생각을? 이 질문 최고!","2023-04-22 16:35:14",282,842024
252,"어떻게 이런 생각을? 이 질문 최고!","2023-04-22 16:43:48",143,840737
253,기타,"2023-04-22 16:55:09",281,840426
254,"이 질문은 재미없어요","2023-04-22 17:21:41",138,840605
255,"이 질문은 재미없어요","2023-04-22 17:48:39",275,839056
256,"이 질문은 재미없어요","2023-04-22 17:49:50",253,839056
257,"이 질문은 재미없어요","2023-04-22 17:50:23",277,839056
258,"이 질문은 재미없어요","2023-04-22 17:51:19",122,839056
259,"이 질문은 재미없어요","2023-04-22 17:52:56",114,839056
260,"이 질문은 재미없어요","2023-04-22 17:55:50",293,839056
261,"이 질문은 재미없어요","2023-04-22 17:56:32",303,839056
262,"이 질문은 재미없어요","2023-04-22 17:59:28",233,839056
263,"이 질문은 재미없어요","2023-04-22 17:59:39",267,839056
264,"이 질문은 재미없어요","2023-04-22 18:00:14",202,839056
265,"이 질문은 재미없어요","2023-04-22 18:05:03",253,839056
266,"이 질문은 재미없어요","2023-04-22 18:09:17",154,839056
267,"이 질문은 재미없어요","2023-04-22 18:10:46",144,839056
268,"이 질문은 재미없어요","2023-04-22 18:11:56",225,839056
269,"어떻게 이런 생각을? 이 질문 최고!","2023-04-22 18:15:40",133,841297
270,"이 질문은 재미없어요","2023-04-22 18:15:52",144,839056
271,"이 질문은 재미없어요","2023-04-22 18:16:46",120,839056
272,"이 질문은 재미없어요","2023-04-22 18:19:24",156,839807
273,"이 질문은 재미없어요","2023-04-22 18:19:51",130,839056
274,"이 질문은 재미없어요","2023-04-22 18:20:24",120,839056
275,"이 질문은 재미없어요","2023-04-22 18:21:10",116,839056
276,"어떻게 이런 생각을? 이 질문 최고!","2023-04-22 18:22:53",296,841623
277,"이 질문은 재미없어요","2023-04-22 18:22:54",284,839056
278,"이 질문은 재미없어요","2023-04-22 18:25:39",112,839056
279,"이 질문은 재미없어요","2023-04-22 18:27:58",99,839056
280,"이 질문은 재미없어요","2023-04-22 18:29:55",310,839056
281,"이 질문은 재미없어요","2023-04-22 18:30:22",248,839056
282,"이 질문은 재미없어요","2023-04-22 18:33:51",203,839056
283,"이 질문은 재미없어요","2023-04-22 18:37:14",194,839056
284,"이 질문은 재미없어요","2023-04-22 18:38:26",204,839056
285,"이 질문은 재미없어요","2023-04-22 18:40:23",203,839056
286,"이 질문은 재미없어요","2023-04-22 18:40:52",281,839056
287,"이 질문은 재미없어요","2023-04-22 18:41:35",275,839056
288,"이 질문은 재미없어요","2023-04-22 18:42:58",204,839056
289,"이 질문은 재미없어요","2023-04-22 18:44:50",267,839056
290,"이 질문은 재미없어요","2023-04-22 18:48:35",281,839056
291,"이 질문은 재미없어요","2023-04-22 18:48:51",275,839056
292,"이 질문은 재미없어요","2023-04-22 18:49:46",189,839056
293,"이 질문은 재미없어요","2023-04-22 18:50:12",225,839056
294,"이 질문은 재미없어요","2023-04-22 18:50:21",227,839056
295,"이 질문은 재미없어요","2023-04-22 18:51:20",114,839056
296,"이 질문은 재미없어요","2023-04-22 18:53:11",286,839056
297,"어떻게 이런 생각을? 이 질문 최고!","2023-04-22 18:54:23",106,839056
298,"이 질문은 재미없어요","2023-04-22 18:54:53",291,839056
299,"이 질문은 재미없어요","2023-04-22 18:55:35",120,839056
300,"이 질문은 재미없어요","2023-04-22 19:09:00",310,839056
301,"이 질문은 재미없어요","2023-04-22 19:09:59",116,839056
302,"이 질문은 재미없어요","2023-04-22 19:11:06",113,839056
303,"이 질문은 재미없어요","2023-04-22 19:12:00",300,839056
304,기타,"2023-04-22 22:07:18",149,837617
305,"어떻게 이런 생각을? 이 질문 최고!","2023-04-22 22:07:46",233,837617
306,"어떻게 이런 생각을? 이 질문 최고!","2023-04-22 22:07:54",318,837617
308,기타,"2023-04-22 23:45:11",313,841477
309,기타,"2023-04-23 01:09:21",251,840181
310,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 02:18:32",193,839369
311,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 02:21:48",224,841209
312,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 03:11:22",134,842347
313,기타,"2023-04-23 03:13:00",136,841623
314,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 03:14:27",239,838582
315,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 03:34:32",202,841772
316,기타,"2023-04-23 04:01:42",204,842147
317,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 04:33:11",235,840957
318,기타,"2023-04-23 05:03:50",296,841839
319,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 05:06:28",197,841740
320,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 05:16:43",265,838986
321,기타,"2023-04-23 05:16:55",241,840743
322,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 05:17:06",241,840743
323,기타,"2023-04-23 05:21:09",247,840743
324,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 05:21:13",247,840743
325,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 05:23:16",126,841482
326,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 05:25:16",117,837786
327,기타,"2023-04-23 05:41:25",320,841668
328,기타,"2023-04-23 05:43:29",102,841768
329,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 05:53:40",125,841610
330,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 06:02:19",111,837587
331,"오타가 있음","2023-04-23 06:04:38",148,837764
332,기타,"2023-04-23 06:16:35",192,841589
333,기타,"2023-04-23 06:16:56",118,842647
334,기타,"2023-04-23 06:17:01",118,842647
335,기타,"2023-04-23 06:42:56",314,841519
336,"불쾌한 내용이 포함되어 있음","2023-04-23 07:06:05",108,839221
337,"불쾌한 내용이 포함되어 있음","2023-04-23 07:44:11",111,838743
338,"불쾌한 내용이 포함되어 있음","2023-04-23 07:44:17",111,838743
339,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 07:53:28",197,842716
340,"이 질문은 재미없어요","2023-04-23 08:35:50",219,839056
341,"이 질문은 재미없어요","2023-04-23 08:36:05",235,839056
342,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 08:45:59",307,841839
343,"이 질문은 재미없어요","2023-04-23 08:52:29",161,839056
344,"이 질문은 재미없어요","2023-04-23 08:54:03",248,839056
345,"이 질문은 재미없어요","2023-04-23 08:59:32",112,839056
346,"이 질문은 재미없어요","2023-04-23 09:11:59",206,839056
347,"이 질문은 재미없어요","2023-04-23 09:12:49",306,839056
348,"이 질문은 재미없어요","2023-04-23 09:14:33",277,837635
349,"이 질문은 재미없어요","2023-04-23 09:14:52",317,837635
350,기타,"2023-04-23 09:20:16",296,839456
351,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 09:28:29",319,841181
352,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 09:28:33",321,841181
353,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 09:28:36",157,841181
354,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 09:28:38",155,841181
355,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 09:28:41",127,841181
